_service_date,exChangeRateDate,exChangeRateValue,sourceCurrency,targetCurrency,FromCurrency,ToCurrency
2025-08-13,08/13/2025,1.41039,JOD,USD,JOD,USD
2025-08-13,08/13/2025,5.29296,JOD,SAR,JOD,SAR
2025-08-13,08/13/2025,1.20808,JOD,EUR,JOD,EUR
2025-08-13,08/13/2025,208.51583,JOD,JPY,JOD,JPY
2025-08-13,08/13/2025,5.18042,JOD,AED,JOD,AED
2025-08-13,08/13/2025,1.04473,JOD,GBP,JOD,GBP
2025-08-13,08/13/2025,5.13451,JOD,QAR,JOD,QAR
2025-08-13,08/13/2025,1.1377,JOD,CHF,JOD,CHF
2025-08-13,08/13/2025,1847.60718,JOD,IQD,JOD,IQD
2025-08-13,08/13/2025,0.70903,USD,JOD,USD,JOD
2025-08-13,08/13/2025,3.75284,USD,SAR,USD,SAR
2025-08-13,08/13/2025,0.85656,USD,EUR,USD,EUR
2025-08-13,08/13/2025,3.67305,USD,AED,USD,AED
2025-08-13,08/13/2025,0.74074,USD,GBP,USD,GBP
2025-08-13,08/13/2025,87.60625,USD,INR,USD,INR
2025-08-13,08/13/2025,48.4486,USD,EGP,USD,EGP
2025-08-13,08/13/2025,3.6405,USD,QAR,USD,QAR
2025-08-13,08/13/2025,17.59492,USD,ZAR,USD,ZAR
2025-08-13,08/13/2025,40.7612,USD,TRY,USD,TRY
2025-08-13,08/13/2025,1310.0,USD,IQD,USD,IQD
2025-08-13,08/13/2025,0.18893,SAR,JOD,SAR,JOD
2025-08-13,08/13/2025,0.26647,SAR,USD,SAR,USD
2025-08-13,08/13/2025,0.22824,SAR,EUR,SAR,EUR
2025-08-13,08/13/2025,39.39491,SAR,JPY,SAR,JPY
2025-08-13,08/13/2025,0.97874,SAR,AED,SAR,AED
2025-08-13,08/13/2025,0.40817,SAR,AUD,SAR,AUD
2025-08-13,08/13/2025,0.19738,SAR,GBP,SAR,GBP
2025-08-13,08/13/2025,23.34396,SAR,INR,SAR,INR
2025-08-13,08/13/2025,12.90984,SAR,EGP,SAR,EGP
2025-08-13,08/13/2025,0.36702,SAR,CAD,SAR,CAD
2025-08-13,08/13/2025,0.97006,SAR,QAR,SAR,QAR
2025-08-13,08/13/2025,0.21495,SAR,CHF,SAR,CHF
2025-08-13,08/13/2025,2.54366,SAR,SEK,SAR,SEK
2025-08-13,08/13/2025,0.10246,SAR,OMR,SAR,OMR
2025-08-13,08/13/2025,0.08139,SAR,KWD,SAR,KWD
2025-08-13,08/13/2025,4.68842,SAR,ZAR,SAR,ZAR
2025-08-13,08/13/2025,1.913,SAR,CNY,SAR,CNY
2025-08-13,08/13/2025,10.86142,SAR,TRY,SAR,TRY
2025-08-13,08/13/2025,1.70345,SAR,DKK,SAR,DKK
2025-08-13,08/13/2025,8.63601,SAR,thb,SAR,THB
2025-08-13,08/13/2025,0.44765,SAR,NZD,SAR,NZD
2025-08-13,08/13/2025,349.06859,SAR,IQD,SAR,IQD
2025-08-13,08/13/2025,0.82776,EUR,JOD,EUR,JOD
2025-08-13,08/13/2025,1.16746,EUR,USD,EUR,USD
2025-08-13,08/13/2025,4.3813,EUR,SAR,EUR,SAR
2025-08-13,08/13/2025,4.28814,EUR,AED,EUR,AED
2025-08-13,08/13/2025,0.86479,EUR,GBP,EUR,GBP
2025-08-13,08/13/2025,102.27687,EUR,INR,EUR,INR
2025-08-13,08/13/2025,56.56185,EUR,EGP,EUR,EGP
2025-08-13,08/13/2025,4.25014,EUR,QAR,EUR,QAR
2025-08-13,08/13/2025,0.94174,EUR,CHF,EUR,CHF
2025-08-13,08/13/2025,20.54138,EUR,ZAR,EUR,ZAR
2025-08-13,08/13/2025,47.58711,EUR,TRY,EUR,TRY
2025-08-13,08/13/2025,1529.3737,EUR,IQD,EUR,IQD
2025-08-13,08/13/2025,0.00676,JPY,USD,JPY,USD
2025-08-13,08/13/2025,0.02538,JPY,SAR,JPY,SAR
2025-08-13,08/13/2025,0.00579,JPY,EUR,JPY,EUR
2025-08-13,08/13/2025,0.02484,JPY,AED,JPY,AED
2025-08-13,08/13/2025,0.00501,JPY,GBP,JPY,GBP
2025-08-13,08/13/2025,0.3277,JPY,EGP,JPY,EGP
2025-08-13,08/13/2025,0.02462,JPY,QAR,JPY,QAR
2025-08-13,08/13/2025,0.19304,AED,JOD,AED,JOD
2025-08-13,08/13/2025,0.27225,AED,USD,AED,USD
2025-08-13,08/13/2025,1.02173,AED,SAR,AED,SAR
2025-08-13,08/13/2025,0.2332,AED,EUR,AED,EUR
2025-08-13,08/13/2025,40.25078,AED,JPY,AED,JPY
2025-08-13,08/13/2025,0.41703,AED,AUD,AED,AUD
2025-08-13,08/13/2025,0.20167,AED,GBP,AED,GBP
2025-08-13,08/13/2025,23.85112,AED,INR,AED,INR
2025-08-13,08/13/2025,13.19031,AED,EGP,AED,EGP
2025-08-13,08/13/2025,0.37499,AED,CAD,AED,CAD
2025-08-13,08/13/2025,0.99114,AED,QAR,AED,QAR
2025-08-13,08/13/2025,0.21962,AED,CHF,AED,CHF
2025-08-13,08/13/2025,2.59892,AED,SEK,AED,SEK
2025-08-13,08/13/2025,0.10468,AED,OMR,AED,OMR
2025-08-13,08/13/2025,0.08316,AED,KWD,AED,KWD
2025-08-13,08/13/2025,4.79028,AED,ZAR,AED,ZAR
2025-08-13,08/13/2025,1.95456,AED,CNY,AED,CNY
2025-08-13,08/13/2025,11.09739,AED,TRY,AED,TRY
2025-08-13,08/13/2025,1.74046,AED,DKK,AED,DKK
2025-08-13,08/13/2025,8.82363,AED,thb,AED,THB
2025-08-13,08/13/2025,0.45737,AED,NZD,AED,NZD
2025-08-13,08/13/2025,356.65224,AED,IQD,AED,IQD
2025-08-13,08/13/2025,0.65283,AUD,USD,AUD,USD
2025-08-13,08/13/2025,2.44998,AUD,SAR,AUD,SAR
2025-08-13,08/13/2025,0.55919,AUD,EUR,AUD,EUR
2025-08-13,08/13/2025,2.39789,AUD,AED,AUD,AED
2025-08-13,08/13/2025,0.48358,AUD,GBP,AUD,GBP
2025-08-13,08/13/2025,2.37664,AUD,QAR,AUD,QAR
2025-08-13,08/13/2025,0.95718,GBP,JOD,GBP,JOD
2025-08-13,08/13/2025,1.35,GBP,USD,GBP,USD
2025-08-13,08/13/2025,5.06634,GBP,SAR,GBP,SAR
2025-08-13,08/13/2025,1.15636,GBP,EUR,GBP,EUR
