_service_date,exChangeRateDate,exChangeRateValue,sourceCurrency,targetCurrency,FromCurrency,ToCurrency
2025-08-03,08/03/2025,1.41036,JOD,USD,JOD,USD
2025-08-03,08/03/2025,5.29024,JOD,SAR,JOD,SAR
2025-08-03,08/03/2025,1.21651,JOD,EUR,JOD,EUR
2025-08-03,08/03/2025,207.87329,JOD,JPY,JOD,JPY
2025-08-03,08/03/2025,5.17955,JOD,AED,JOD,AED
2025-08-03,08/03/2025,1.06186,JOD,GBP,JOD,GBP
2025-08-03,08/03/2025,5.04921,JOD,QAR,JOD,QAR
2025-08-03,08/03/2025,1.13364,JOD,CHF,JOD,CHF
2025-08-03,08/03/2025,1819.15021,JOD,IQD,JOD,IQD
2025-08-03,08/03/2025,0.70904,USD,JOD,USD,JOD
2025-08-03,08/03/2025,3.75099,USD,SAR,USD,SAR
2025-08-03,08/03/2025,0.86255,USD,EUR,USD,EUR
2025-08-03,08/03/2025,3.6725,USD,AED,USD,AED
2025-08-03,08/03/2025,0.7529,USD,GBP,USD,GBP
2025-08-03,08/03/2025,87.1679,USD,INR,USD,INR
2025-08-03,08/03/2025,48.33873,USD,EGP,USD,EGP
2025-08-03,08/03/2025,3.58009,USD,QAR,USD,QAR
2025-08-03,08/03/2025,18.15613,USD,ZAR,USD,ZAR
2025-08-03,08/03/2025,40.6205,USD,TRY,USD,TRY
2025-08-03,08/03/2025,1289.84945,USD,IQD,USD,IQD
2025-08-03,08/03/2025,0.18903,SAR,JOD,SAR,JOD
2025-08-03,08/03/2025,0.2666,SAR,USD,SAR,USD
2025-08-03,08/03/2025,0.22995,SAR,EUR,SAR,EUR
2025-08-03,08/03/2025,39.29372,SAR,JPY,SAR,JPY
2025-08-03,08/03/2025,0.97908,SAR,AED,SAR,AED
2025-08-03,08/03/2025,0.41237,SAR,AUD,SAR,AUD
2025-08-03,08/03/2025,0.20072,SAR,GBP,SAR,GBP
2025-08-03,08/03/2025,23.23864,SAR,INR,SAR,INR
2025-08-03,08/03/2025,12.88692,SAR,EGP,SAR,EGP
2025-08-03,08/03/2025,0.36789,SAR,CAD,SAR,CAD
2025-08-03,08/03/2025,0.95444,SAR,QAR,SAR,QAR
2025-08-03,08/03/2025,0.21429,SAR,CHF,SAR,CHF
2025-08-03,08/03/2025,2.57362,SAR,SEK,SAR,SEK
2025-08-03,08/03/2025,0.10093,SAR,OMR,SAR,OMR
2025-08-03,08/03/2025,0.08138,SAR,KWD,SAR,KWD
2025-08-03,08/03/2025,4.84036,SAR,ZAR,SAR,ZAR
2025-08-03,08/03/2025,1.92264,SAR,CNY,SAR,CNY
