_service_date,exChangeRateDate,exChangeRateValue,sourceCurrency,targetCurrency
2025-07-20,07/20/2025,1.41036,JOD,USD
2025-07-20,07/20/2025,5.29269,JOD,SAR
2025-07-20,07/20/2025,1.21346,JOD,EUR
2025-07-20,07/20/2025,209.84655,JOD,JPY
2025-07-20,07/20/2025,5.17955,JOD,AED
2025-07-20,07/20/2025,2.15618,JOD,AUD
2025-07-20,07/20/2025,1.05149,JOD,GBP
2025-07-20,07/20/2025,121.5007,JOD,INR
2025-07-20,07/20/2025,69.70115,JOD,EGP
2025-07-20,07/20/2025,1.93678,JOD,CAD
2025-07-20,07/20/2025,59393.7302,JOD,IRR
2025-07-20,07/20/2025,24.98855,JOD,SZL
2025-07-20,07/20/2025,5.13257,JOD,QAR
2025-07-20,07/20/2025,1.13193,JOD,CHF
2025-07-20,07/20/2025,13.63366,JOD,SEK
2025-07-20,07/20/2025,0.54229,JOD,OMR
2025-07-20,07/20/2025,0.43106,JOD,KWD
2025-07-20,07/20/2025,24.97804,JOD,ZAR
2025-07-20,07/20/2025,10.12348,JOD,CNY
2025-07-20,07/20/2025,56.90849,JOD,TRY
2025-07-20,07/20/2025,9.05691,JOD,DKK
2025-07-20,07/20/2025,45.66041,JOD,thb
2025-07-20,07/20/2025,0.53215,JOD,BHD
2025-07-20,07/20/2025,2.36479,JOD,NZD
2025-07-20,07/20/2025,126482.22168,JOD,LBP
2025-07-20,07/20/2025,1849.18933,JOD,IQD
2025-07-20,07/20/2025,0.70904,USD,JOD
2025-07-20,07/20/2025,3.75273,USD,SAR
2025-07-20,07/20/2025,0.86039,USD,EUR
2025-07-20,07/20/2025,148.7895,USD,JPY
2025-07-20,07/20/2025,3.6725,USD,AED
2025-07-20,07/20/2025,1.52882,USD,AUD
2025-07-20,07/20/2025,0.74555,USD,GBP
2025-07-20,07/20/2025,86.1488,USD,INR
2025-07-20,07/20/2025,49.42087,USD,EGP
2025-07-20,07/20/2025,1.37325,USD,CAD
2025-07-20,07/20/2025,42112.50382,USD,IRR
2025-07-20,07/20/2025,17.71787,USD,SZL
2025-07-20,07/20/2025,3.63919,USD,QAR
2025-07-20,07/20/2025,0.80258,USD,CHF
2025-07-20,07/20/2025,9.6668,USD,SEK
2025-07-20,07/20/2025,0.3845,USD,OMR
2025-07-20,07/20/2025,0.30564,USD,KWD
2025-07-20,07/20/2025,17.71042,USD,ZAR
