_service_date,exChangeRateDate,exChangeRateValue,sourceCurrency,targetCurrency
2025-08-17,08/17/2025,1.41036,JOD,USD
2025-08-17,08/17/2025,5.29202,JOD,SAR
2025-08-17,08/17/2025,1.2048,JOD,EUR
2025-08-17,08/17/2025,207.49906,JOD,JPY
2025-08-17,08/17/2025,5.18018,JOD,AED
2025-08-17,08/17/2025,2.16815,JOD,AUD
2025-08-17,08/17/2025,1.04013,JOD,GBP
2025-08-17,08/17/2025,123.42591,JOD,INR
2025-08-17,08/17/2025,68.07103,JOD,EGP
2025-08-17,08/17/2025,1.94905,JOD,CAD
2025-08-17,08/17/2025,59393.7302,JOD,IRR
2025-08-17,08/17/2025,24.80873,JOD,SZL
2025-08-17,08/17/2025,5.13456,JOD,QAR
2025-08-17,08/17/2025,1.13759,JOD,CHF
2025-08-17,08/17/2025,13.47636,JOD,SEK
2025-08-17,08/17/2025,0.54198,JOD,OMR
2025-08-17,08/17/2025,0.4308,JOD,KWD
2025-08-17,08/17/2025,24.81561,JOD,ZAR
2025-08-17,08/17/2025,10.12934,JOD,CNY
2025-08-17,08/17/2025,57.64562,JOD,TRY
2025-08-17,08/17/2025,8.99351,JOD,DKK
2025-08-17,08/17/2025,45.75255,JOD,thb
2025-08-17,08/17/2025,0.53141,JOD,BHD
2025-08-17,08/17/2025,2.38158,JOD,NZD
2025-08-17,08/17/2025,125798.31368,JOD,LBP
2025-08-17,08/17/2025,1847.56971,JOD,IQD
2025-08-17,08/17/2025,0.70904,USD,JOD
2025-08-17,08/17/2025,3.75225,USD,SAR
2025-08-17,08/17/2025,0.85425,USD,EUR
2025-08-17,08/17/2025,147.12504,USD,JPY
2025-08-17,08/17/2025,3.67295,USD,AED
2025-08-17,08/17/2025,1.5373,USD,AUD
2025-08-17,08/17/2025,0.73749,USD,GBP
2025-08-17,08/17/2025,87.51385,USD,INR
2025-08-17,08/17/2025,48.26505,USD,EGP
2025-08-17,08/17/2025,1.38195,USD,CAD
2025-08-17,08/17/2025,42112.50382,USD,IRR
2025-08-17,08/17/2025,17.59037,USD,SZL
2025-08-17,08/17/2025,3.6406,USD,QAR
2025-08-17,08/17/2025,0.80659,USD,CHF
2025-08-17,08/17/2025,9.55527,USD,SEK
2025-08-17,08/17/2025,0.38428,USD,OMR
2025-08-17,08/17/2025,0.30545,USD,KWD
2025-08-17,08/17/2025,17.59525,USD,ZAR
2025-08-17,08/17/2025,7.1821,USD,CNY
2025-08-17,08/17/2025,40.87303,USD,TRY
2025-08-17,08/17/2025,6.37675,USD,DKK
2025-08-17,08/17/2025,32.44037,USD,thb
2025-08-17,08/17/2025,0.37679,USD,BHD
2025-08-17,08/17/2025,1.68863,USD,NZD
2025-08-17,08/17/2025,89195.9799,USD,LBP
2025-08-17,08/17/2025,1310.0,USD,IQD
2025-08-17,08/17/2025,0.18896,SAR,JOD
2025-08-17,08/17/2025,0.26651,SAR,USD
2025-08-17,08/17/2025,0.22766,SAR,EUR
2025-08-17,08/17/2025,39.20979,SAR,JPY
2025-08-17,08/17/2025,0.97887,SAR,AED
2025-08-17,08/17/2025,0.4097,SAR,AUD
2025-08-17,08/17/2025,0.19655,SAR,GBP
2025-08-17,08/17/2025,23.32301,SAR,INR
2025-08-17,08/17/2025,12.86295,SAR,EGP
2025-08-17,08/17/2025,0.3683,SAR,CAD
2025-08-17,08/17/2025,11223.25807,SAR,IRR
2025-08-17,08/17/2025,4.68795,SAR,SZL
2025-08-17,08/17/2025,0.97025,SAR,QAR
2025-08-17,08/17/2025,0.21496,SAR,CHF
2025-08-17,08/17/2025,2.54654,SAR,SEK
2025-08-17,08/17/2025,0.10241,SAR,OMR
2025-08-17,08/17/2025,0.08141,SAR,KWD
2025-08-17,08/17/2025,4.68925,SAR,ZAR
2025-08-17,08/17/2025,1.91408,SAR,CNY
2025-08-17,08/17/2025,10.89293,SAR,TRY
2025-08-17,08/17/2025,1.69945,SAR,DKK
