_service_date,exChangeRateDate,exChangeRateValue,sourceCurrency,targetCurrency
2025-07-13,07/13/2025,1.41036,JOD,USD
2025-07-13,07/13/2025,5.28956,JOD,SAR
2025-07-13,07/13/2025,1.20643,JOD,EUR
2025-07-13,07/13/2025,206.69515,JOD,JPY
2025-07-13,07/13/2025,5.17955,JOD,AED
2025-07-13,07/13/2025,2.14275,JOD,AUD
2025-07-13,07/13/2025,1.04487,JOD,GBP
2025-07-13,07/13/2025,121.04473,JOD,INR
2025-07-13,07/13/2025,69.79861,JOD,EGP
2025-07-13,07/13/2025,1.93184,JOD,CAD
2025-07-13,07/13/2025,59393.7302,JOD,IRR
2025-07-13,07/13/2025,25.15142,JOD,SZL
2025-07-13,07/13/2025,5.14038,JOD,QAR
2025-07-13,07/13/2025,1.12302,JOD,CHF
2025-07-13,07/13/2025,13.4869,JOD,SEK
2025-07-13,07/13/2025,0.54229,JOD,OMR
2025-07-13,07/13/2025,0.43127,JOD,KWD
2025-07-13,07/13/2025,25.31149,JOD,ZAR
2025-07-13,07/13/2025,10.11023,JOD,CNY
2025-07-13,07/13/2025,56.6608,JOD,TRY
2025-07-13,07/13/2025,9.00211,JOD,DKK
2025-07-13,07/13/2025,45.75914,JOD,thb
2025-07-13,07/13/2025,0.53168,JOD,BHD
2025-07-13,07/13/2025,2.34766,JOD,NZD
2025-07-13,07/13/2025,126337.03883,JOD,LBP
2025-07-13,07/13/2025,1847.07469,JOD,IQD
2025-07-13,07/13/2025,0.70904,USD,JOD
2025-07-13,07/13/2025,3.7505,USD,SAR
2025-07-13,07/13/2025,0.8554,USD,EUR
2025-07-13,07/13/2025,146.55504,USD,JPY
2025-07-13,07/13/2025,3.6725,USD,AED
2025-07-13,07/13/2025,1.5193,USD,AUD
2025-07-13,07/13/2025,0.74085,USD,GBP
2025-07-13,07/13/2025,85.8255,USD,INR
2025-07-13,07/13/2025,49.48998,USD,EGP
2025-07-13,07/13/2025,1.36975,USD,CAD
2025-07-13,07/13/2025,42112.50382,USD,IRR
2025-07-13,07/13/2025,17.83336,USD,SZL
2025-07-13,07/13/2025,3.64474,USD,QAR
2025-07-13,07/13/2025,0.79627,USD,CHF
2025-07-13,07/13/2025,9.56275,USD,SEK
2025-07-13,07/13/2025,0.3845,USD,OMR
2025-07-13,07/13/2025,0.30579,USD,KWD
2025-07-13,07/13/2025,17.94685,USD,ZAR
2025-07-13,07/13/2025,7.16855,USD,CNY
2025-07-13,07/13/2025,40.17475,USD,TRY
2025-07-13,07/13/2025,6.38285,USD,DKK
2025-07-13,07/13/2025,32.44504,USD,thb
2025-07-13,07/13/2025,0.37698,USD,BHD
2025-07-13,07/13/2025,1.66459,USD,NZD
2025-07-13,07/13/2025,89577.95733,USD,LBP
2025-07-13,07/13/2025,1309.64901,USD,IQD
2025-07-13,07/13/2025,0.18905,SAR,JOD
2025-07-13,07/13/2025,0.26663,SAR,USD
2025-07-13,07/13/2025,0.22808,SAR,EUR
2025-07-13,07/13/2025,39.07609,SAR,JPY
2025-07-13,07/13/2025,0.9792,SAR,AED
2025-07-13,07/13/2025,0.40509,SAR,AUD
2025-07-13,07/13/2025,0.19753,SAR,GBP
2025-07-13,07/13/2025,22.88373,SAR,INR
2025-07-13,07/13/2025,13.19555,SAR,EGP
2025-07-13,07/13/2025,0.36522,SAR,CAD
2025-07-13,07/13/2025,11228.4922,SAR,IRR
2025-07-13,07/13/2025,4.75492,SAR,SZL
2025-07-13,07/13/2025,0.9718,SAR,QAR
2025-07-13,07/13/2025,0.21231,SAR,CHF
2025-07-13,07/13/2025,2.54972,SAR,SEK
2025-07-13,07/13/2025,0.10252,SAR,OMR
2025-07-13,07/13/2025,0.08153,SAR,KWD
2025-07-13,07/13/2025,4.78518,SAR,ZAR
2025-07-13,07/13/2025,1.91136,SAR,CNY
2025-07-13,07/13/2025,10.71183,SAR,TRY
2025-07-13,07/13/2025,1.70187,SAR,DKK
2025-07-13,07/13/2025,8.65085,SAR,thb
2025-07-13,07/13/2025,0.10052,SAR,BHD
2025-07-13,07/13/2025,0.44383,SAR,NZD
2025-07-13,07/13/2025,23884.24586,SAR,LBP
2025-07-13,07/13/2025,349.19281,SAR,IQD
2025-07-13,07/13/2025,0.82889,EUR,JOD
2025-07-13,07/13/2025,1.16904,EUR,USD
2025-07-13,07/13/2025,4.38448,EUR,SAR
2025-07-13,07/13/2025,171.32843,EUR,JPY
2025-07-13,07/13/2025,4.2933,EUR,AED
2025-07-13,07/13/2025,1.77611,EUR,AUD
2025-07-13,07/13/2025,0.86608,EUR,GBP
2025-07-13,07/13/2025,100.33329,EUR,INR
2025-07-13,07/13/2025,57.85567,EUR,EGP
2025-07-13,07/13/2025,1.60129,EUR,CAD
2025-07-13,07/13/2025,49231.12209,EUR,IRR
2025-07-13,07/13/2025,20.84787,EUR,SZL
2025-07-13,07/13/2025,4.26083,EUR,QAR
2025-07-13,07/13/2025,0.93087,EUR,CHF
2025-07-13,07/13/2025,11.17921,EUR,SEK
2025-07-13,07/13/2025,0.4495,EUR,OMR
2025-07-13,07/13/2025,0.35748,EUR,KWD
2025-07-13,07/13/2025,20.98055,EUR,ZAR
2025-07-13,07/13/2025,8.38031,EUR,CNY
2025-07-13,07/13/2025,46.96581,EUR,TRY
2025-07-13,07/13/2025,7.4618,EUR,DKK
2025-07-13,07/13/2025,37.92949,EUR,thb
2025-07-13,07/13/2025,0.44071,EUR,BHD
2025-07-13,07/13/2025,1.94596,EUR,NZD
2025-07-13,07/13/2025,104720.04642,EUR,LBP
2025-07-13,07/13/2025,1531.02961,EUR,IQD
2025-07-13,07/13/2025,0.00484,JPY,JOD
2025-07-13,07/13/2025,0.00682,JPY,USD
2025-07-13,07/13/2025,0.02559,JPY,SAR
2025-07-13,07/13/2025,0.00584,JPY,EUR
2025-07-13,07/13/2025,0.02506,JPY,AED
2025-07-13,07/13/2025,0.01037,JPY,AUD
2025-07-13,07/13/2025,0.00506,JPY,GBP
2025-07-13,07/13/2025,0.58562,JPY,INR
2025-07-13,07/13/2025,0.33769,JPY,EGP
2025-07-13,07/13/2025,0.00935,JPY,CAD
2025-07-13,07/13/2025,287.34941,JPY,IRR
2025-07-13,07/13/2025,0.12168,JPY,SZL
2025-07-13,07/13/2025,0.02487,JPY,QAR
2025-07-13,07/13/2025,0.00543,JPY,CHF
2025-07-13,07/13/2025,0.06525,JPY,SEK
2025-07-13,07/13/2025,0.00262,JPY,OMR
2025-07-13,07/13/2025,0.00209,JPY,KWD
2025-07-13,07/13/2025,0.12246,JPY,ZAR
2025-07-13,07/13/2025,0.04891,JPY,CNY
2025-07-13,07/13/2025,0.27413,JPY,TRY
2025-07-13,07/13/2025,0.04355,JPY,DKK
2025-07-13,07/13/2025,0.22139,JPY,thb
2025-07-13,07/13/2025,0.00257,JPY,BHD
2025-07-13,07/13/2025,0.01136,JPY,NZD
2025-07-13,07/13/2025,611.224,JPY,LBP
2025-07-13,07/13/2025,8.93623,JPY,IQD
2025-07-13,07/13/2025,0.19307,AED,JOD
2025-07-13,07/13/2025,0.27229,AED,USD
2025-07-13,07/13/2025,1.02124,AED,SAR
2025-07-13,07/13/2025,0.23292,AED,EUR
2025-07-13,07/13/2025,39.90602,AED,JPY
2025-07-13,07/13/2025,0.4137,AED,AUD
2025-07-13,07/13/2025,0.20173,AED,GBP
2025-07-13,07/13/2025,23.36975,AED,INR
2025-07-13,07/13/2025,13.47581,AED,EGP
2025-07-13,07/13/2025,0.37297,AED,CAD
2025-07-13,07/13/2025,11466.97217,AED,IRR
2025-07-13,07/13/2025,4.85591,AED,SZL
2025-07-13,07/13/2025,0.99244,AED,QAR
2025-07-13,07/13/2025,0.21682,AED,CHF
2025-07-13,07/13/2025,2.60388,AED,SEK
2025-07-13,07/13/2025,0.1047,AED,OMR
2025-07-13,07/13/2025,0.08327,AED,KWD
2025-07-13,07/13/2025,4.88682,AED,ZAR
2025-07-13,07/13/2025,1.95195,AED,CNY
2025-07-13,07/13/2025,10.93933,AED,TRY
2025-07-13,07/13/2025,1.73801,AED,DKK
2025-07-13,07/13/2025,8.83458,AED,thb
2025-07-13,07/13/2025,0.10265,AED,BHD
2025-07-13,07/13/2025,0.45326,AED,NZD
2025-07-13,07/13/2025,24391.51915,AED,LBP
2025-07-13,07/13/2025,356.60926,AED,IQD
2025-07-13,07/13/2025,0.46669,AUD,JOD
2025-07-13,07/13/2025,0.6582,AUD,USD
2025-07-13,07/13/2025,2.46858,AUD,SAR
2025-07-13,07/13/2025,0.56303,AUD,EUR
2025-07-13,07/13/2025,96.46252,AUD,JPY
2025-07-13,07/13/2025,2.41724,AUD,AED
2025-07-13,07/13/2025,0.48763,AUD,GBP
2025-07-13,07/13/2025,56.49034,AUD,INR
2025-07-13,07/13/2025,32.5743,AUD,EGP
2025-07-13,07/13/2025,0.90157,AUD,CAD
2025-07-13,07/13/2025,27718.44745,AUD,IRR
2025-07-13,07/13/2025,11.73791,AUD,SZL
2025-07-13,07/13/2025,2.39896,AUD,QAR
2025-07-13,07/13/2025,0.5241,AUD,CHF
2025-07-13,07/13/2025,6.2942,AUD,SEK
2025-07-13,07/13/2025,0.25308,AUD,OMR
2025-07-13,07/13/2025,0.20127,AUD,KWD
2025-07-13,07/13/2025,11.81262,AUD,ZAR
2025-07-13,07/13/2025,4.71834,AUD,CNY
2025-07-13,07/13/2025,26.44302,AUD,TRY
2025-07-13,07/13/2025,4.20119,AUD,DKK
2025-07-13,07/13/2025,21.35532,AUD,thb
2025-07-13,07/13/2025,0.24813,AUD,BHD
2025-07-13,07/13/2025,1.09563,AUD,NZD
2025-07-13,07/13/2025,58960.20607,AUD,LBP
2025-07-13,07/13/2025,862.0109,AUD,IQD
2025-07-13,07/13/2025,0.95706,GBP,JOD
2025-07-13,07/13/2025,1.3498,GBP,USD
2025-07-13,07/13/2025,5.06243,GBP,SAR
2025-07-13,07/13/2025,1.15462,GBP,EUR
2025-07-13,07/13/2025,197.81999,GBP,JPY
