_service_date,exChangeRateDate,exChangeRateValue,sourceCurrency,targetCurrency,FromCurrency,ToCurrency
2025-08-28,08/28/2025,1.41046,JOD,USD,JOD,USD
2025-08-28,08/28/2025,5.29206,JOD,SAR,JOD,SAR
2025-08-28,08/28/2025,1.2117,JOD,EUR,JOD,EUR
2025-08-28,08/28/2025,207.80414,JOD,JPY,JOD,JPY
2025-08-28,08/28/2025,5.1799,JOD,AED,JOD,AED
2025-08-28,08/28/2025,1.04483,JOD,GBP,JOD,GBP
2025-08-28,08/28/2025,5.13527,JOD,QAR,JOD,QAR
2025-08-28,08/28/2025,1.13122,JOD,CHF,JOD,CHF
2025-08-28,08/28/2025,1847.69989,JOD,IQD,JOD,IQD
2025-08-28,08/28/2025,0.70899,USD,JOD,USD,JOD
2025-08-28,08/28/2025,3.75202,USD,SAR,USD,SAR
2025-08-28,08/28/2025,0.85909,USD,EUR,USD,EUR
2025-08-28,08/28/2025,3.6725,USD,AED,USD,AED
2025-08-28,08/28/2025,0.74077,USD,GBP,USD,GBP
2025-08-28,08/28/2025,87.66105,USD,INR,USD,INR
2025-08-28,08/28/2025,48.63991,USD,EGP,USD,EGP
2025-08-28,08/28/2025,3.64085,USD,QAR,USD,QAR
2025-08-28,08/28/2025,17.70455,USD,ZAR,USD,ZAR
2025-08-28,08/28/2025,41.0564,USD,TRY,USD,TRY
2025-08-28,08/28/2025,1310.0,USD,IQD,USD,IQD
2025-08-28,08/28/2025,0.18896,SAR,JOD,SAR,JOD
2025-08-28,08/28/2025,0.26652,SAR,USD,SAR,USD
2025-08-28,08/28/2025,0.22897,SAR,EUR,SAR,EUR
2025-08-28,08/28/2025,39.26713,SAR,JPY,SAR,JPY
2025-08-28,08/28/2025,0.97881,SAR,AED,SAR,AED
2025-08-28,08/28/2025,0.40966,SAR,AUD,SAR,AUD
2025-08-28,08/28/2025,0.19743,SAR,GBP,SAR,GBP
2025-08-28,08/28/2025,23.36371,SAR,INR,SAR,INR
2025-08-28,08/28/2025,12.96367,SAR,EGP,SAR,EGP
2025-08-28,08/28/2025,0.36741,SAR,CAD,SAR,CAD
2025-08-28,08/28/2025,0.97037,SAR,QAR,SAR,QAR
2025-08-28,08/28/2025,0.21376,SAR,CHF,SAR,CHF
2025-08-28,08/28/2025,2.54157,SAR,SEK,SAR,SEK
2025-08-28,08/28/2025,0.10248,SAR,OMR,SAR,OMR
2025-08-28,08/28/2025,0.08144,SAR,KWD,SAR,KWD
2025-08-28,08/28/2025,4.71867,SAR,ZAR,SAR,ZAR
2025-08-28,08/28/2025,1.90671,SAR,CNY,SAR,CNY
2025-08-28,08/28/2025,10.94248,SAR,TRY,SAR,TRY
2025-08-28,08/28/2025,1.70916,SAR,DKK,SAR,DKK
2025-08-28,08/28/2025,8.64328,SAR,thb,SAR,THB
2025-08-28,08/28/2025,0.45505,SAR,NZD,SAR,NZD
2025-08-28,08/28/2025,349.14543,SAR,IQD,SAR,IQD
2025-08-28,08/28/2025,0.82529,EUR,JOD,EUR,JOD
2025-08-28,08/28/2025,1.16403,EUR,USD,EUR,USD
2025-08-28,08/28/2025,4.36746,EUR,SAR,EUR,SAR
2025-08-28,08/28/2025,4.27489,EUR,AED,EUR,AED
2025-08-28,08/28/2025,0.86228,EUR,GBP,EUR,GBP
2025-08-28,08/28/2025,102.04002,EUR,INR,EUR,INR
2025-08-28,08/28/2025,56.61828,EUR,EGP,EUR,EGP
2025-08-28,08/28/2025,4.23806,EUR,QAR,EUR,QAR
2025-08-28,08/28/2025,0.93358,EUR,CHF,EUR,CHF
2025-08-28,08/28/2025,20.60861,EUR,ZAR,EUR,ZAR
2025-08-28,08/28/2025,47.79085,EUR,TRY,EUR,TRY
2025-08-28,08/28/2025,1524.87821,EUR,IQD,EUR,IQD
2025-08-28,08/28/2025,0.00679,JPY,USD,JPY,USD
2025-08-28,08/28/2025,0.02547,JPY,SAR,JPY,SAR
2025-08-28,08/28/2025,0.00583,JPY,EUR,JPY,EUR
2025-08-28,08/28/2025,0.02493,JPY,AED,JPY,AED
2025-08-28,08/28/2025,0.00503,JPY,GBP,JPY,GBP
2025-08-28,08/28/2025,0.33014,JPY,EGP,JPY,EGP
2025-08-28,08/28/2025,0.02471,JPY,QAR,JPY,QAR
2025-08-28,08/28/2025,0.19305,AED,JOD,AED,JOD
