_service_date,exChangeRateDate,exChangeRateValue,sourceCurrency,targetCurrency,FromCurrency,ToCurrency
2025-07-26,07/26/2025,1.41036,JOD,USD,JOD,USD
2025-07-26,07/26/2025,5.29114,JOD,SAR,JOD,SAR
2025-07-26,07/26/2025,1.20064,JOD,EUR,JOD,EUR
2025-07-26,07/26/2025,208.24796,JOD,JPY,JOD,JPY
2025-07-26,07/26/2025,5.17955,JOD,AED,JOD,AED
2025-07-26,07/26/2025,1.04992,JOD,GBP,JOD,GBP
2025-07-26,07/26/2025,5.14501,JOD,QAR,JOD,QAR
2025-07-26,07/26/2025,1.12186,JOD,CHF,JOD,CHF
2025-07-26,07/26/2025,1844.3843,JOD,IQD,JOD,IQD
2025-07-26,07/26/2025,0.70904,USD,JOD,USD,JOD
2025-07-26,07/26/2025,3.75162,USD,SAR,USD,SAR
2025-07-26,07/26/2025,0.8513,USD,EUR,USD,EUR
2025-07-26,07/26/2025,3.6725,USD,AED,USD,AED
2025-07-26,07/26/2025,0.74444,USD,GBP,USD,GBP
2025-07-26,07/26/2025,86.5063,USD,INR,USD,INR
2025-07-26,07/26/2025,49.10669,USD,EGP,USD,EGP
2025-07-26,07/26/2025,3.64802,USD,QAR,USD,QAR
2025-07-26,07/26/2025,17.7809,USD,ZAR,USD,ZAR
2025-07-26,07/26/2025,40.57334,USD,TRY,USD,TRY
2025-07-26,07/26/2025,1307.74141,USD,IQD,USD,IQD
2025-07-26,07/26/2025,0.189,SAR,JOD,SAR,JOD
2025-07-26,07/26/2025,0.26655,SAR,USD,SAR,USD
2025-07-26,07/26/2025,0.22692,SAR,EUR,SAR,EUR
2025-07-26,07/26/2025,39.3579,SAR,JPY,SAR,JPY
2025-07-26,07/26/2025,0.97891,SAR,AED,SAR,AED
2025-07-26,07/26/2025,0.40596,SAR,AUD,SAR,AUD
2025-07-26,07/26/2025,0.19843,SAR,GBP,SAR,GBP
2025-07-26,07/26/2025,23.05836,SAR,INR,SAR,INR
2025-07-26,07/26/2025,13.08945,SAR,EGP,SAR,EGP
2025-07-26,07/26/2025,0.36503,SAR,CAD,SAR,CAD
2025-07-26,07/26/2025,0.97238,SAR,QAR,SAR,QAR
2025-07-26,07/26/2025,0.21203,SAR,CHF,SAR,CHF
2025-07-26,07/26/2025,2.53743,SAR,SEK,SAR,SEK
2025-07-26,07/26/2025,0.10253,SAR,OMR,SAR,OMR
2025-07-26,07/26/2025,0.08139,SAR,KWD,SAR,KWD
2025-07-26,07/26/2025,4.73952,SAR,ZAR,SAR,ZAR
2025-07-26,07/26/2025,1.90692,SAR,CNY,SAR,CNY
2025-07-26,07/26/2025,10.81487,SAR,TRY,SAR,TRY
2025-07-26,07/26/2025,1.69359,SAR,DKK,SAR,DKK
2025-07-26,07/26/2025,8.62836,SAR,thb,SAR,THB
2025-07-26,07/26/2025,0.44295,SAR,NZD,SAR,NZD
2025-07-26,07/26/2025,348.5801,SAR,IQD,SAR,IQD
2025-07-26,07/26/2025,0.83289,EUR,JOD,EUR,JOD
2025-07-26,07/26/2025,1.17467,EUR,USD,EUR,USD
2025-07-26,07/26/2025,4.40691,EUR,SAR,EUR,SAR
2025-07-26,07/26/2025,4.31398,EUR,AED,EUR,AED
2025-07-26,07/26/2025,0.87447,EUR,GBP,EUR,GBP
2025-07-26,07/26/2025,101.61622,EUR,INR,EUR,INR
2025-07-26,07/26/2025,57.68408,EUR,EGP,EUR,EGP
2025-07-26,07/26/2025,4.28521,EUR,QAR,EUR,QAR
2025-07-26,07/26/2025,0.93438,EUR,CHF,EUR,CHF
2025-07-26,07/26/2025,20.88667,EUR,ZAR,EUR,ZAR
2025-07-26,07/26/2025,47.66021,EUR,TRY,EUR,TRY
2025-07-26,07/26/2025,1536.16247,EUR,IQD,EUR,IQD
2025-07-26,07/26/2025,0.00677,JPY,USD,JPY,USD
2025-07-26,07/26/2025,0.02541,JPY,SAR,JPY,SAR
2025-07-26,07/26/2025,0.00577,JPY,EUR,JPY,EUR
2025-07-26,07/26/2025,0.02487,JPY,AED,JPY,AED
2025-07-26,07/26/2025,0.00504,JPY,GBP,JPY,GBP
2025-07-26,07/26/2025,0.33258,JPY,EGP,JPY,EGP
2025-07-26,07/26/2025,0.02471,JPY,QAR,JPY,QAR
2025-07-26,07/26/2025,0.19307,AED,JOD,AED,JOD
2025-07-26,07/26/2025,0.27229,AED,USD,AED,USD
2025-07-26,07/26/2025,1.02154,AED,SAR,AED,SAR
2025-07-26,07/26/2025,0.23181,AED,EUR,AED,EUR
2025-07-26,07/26/2025,40.20582,AED,JPY,AED,JPY
2025-07-26,07/26/2025,0.4147,AED,AUD,AED,AUD
2025-07-26,07/26/2025,0.20271,AED,GBP,AED,GBP
2025-07-26,07/26/2025,23.55513,AED,INR,AED,INR
2025-07-26,07/26/2025,13.37145,AED,EGP,AED,EGP
2025-07-26,07/26/2025,0.37289,AED,CAD,AED,CAD
2025-07-26,07/26/2025,0.99333,AED,QAR,AED,QAR
2025-07-26,07/26/2025,0.2166,AED,CHF,AED,CHF
2025-07-26,07/26/2025,2.59209,AED,SEK,AED,SEK
2025-07-26,07/26/2025,0.10473,AED,OMR,AED,OMR
2025-07-26,07/26/2025,0.08314,AED,KWD,AED,KWD
2025-07-26,07/26/2025,4.84163,AED,ZAR,AED,ZAR
2025-07-26,07/26/2025,1.948,AED,CNY,AED,CNY
2025-07-26,07/26/2025,11.04787,AED,TRY,AED,TRY
2025-07-26,07/26/2025,1.73007,AED,DKK,AED,DKK
