_service_date,exChangeRateDate,exChangeRateValue,sourceCurrency,targetCurrency
2025-08-18,08/18/2025,1.41037,JOD,USD
2025-08-18,08/18/2025,5.2924,JOD,SAR
2025-08-18,08/18/2025,1.20396,JOD,EUR
2025-08-18,08/18/2025,207.58696,JOD,JPY
2025-08-18,08/18/2025,5.17958,JOD,AED
2025-08-18,08/18/2025,2.16701,JOD,AUD
2025-08-18,08/18/2025,1.03971,JOD,GBP
2025-08-18,08/18/2025,123.42614,JOD,INR
2025-08-18,08/18/2025,68.00751,JOD,EGP
2025-08-18,08/18/2025,1.94834,JOD,CAD
2025-08-18,08/18/2025,59394.07048,JOD,IRR
2025-08-18,08/18/2025,24.75719,JOD,SZL
2025-08-18,08/18/2025,5.13425,JOD,QAR
2025-08-18,08/18/2025,1.13722,JOD,CHF
2025-08-18,08/18/2025,13.4568,JOD,SEK
2025-08-18,08/18/2025,0.54189,JOD,OMR
2025-08-18,08/18/2025,0.43083,JOD,KWD
2025-08-18,08/18/2025,24.81893,JOD,ZAR
2025-08-18,08/18/2025,10.12939,JOD,CNY
2025-08-18,08/18/2025,57.6623,JOD,TRY
2025-08-18,08/18/2025,8.9866,JOD,DKK
2025-08-18,08/18/2025,45.76657,JOD,thb
2025-08-18,08/18/2025,0.53096,JOD,BHD
2025-08-18,08/18/2025,2.38075,JOD,NZD
2025-08-18,08/18/2025,126108.13796,JOD,LBP
2025-08-18,08/18/2025,1844.73838,JOD,IQD
2025-08-18,08/18/2025,0.70904,USD,JOD
2025-08-18,08/18/2025,3.7525,USD,SAR
2025-08-18,08/18/2025,0.85365,USD,EUR
2025-08-18,08/18/2025,147.1865,USD,JPY
2025-08-18,08/18/2025,3.67251,USD,AED
2025-08-18,08/18/2025,1.53649,USD,AUD
2025-08-18,08/18/2025,0.73719,USD,GBP
2025-08-18,08/18/2025,87.5135,USD,INR
2025-08-18,08/18/2025,48.21973,USD,EGP
2025-08-18,08/18/2025,1.38145,USD,CAD
2025-08-18,08/18/2025,42112.49766,USD,IRR
2025-08-18,08/18/2025,17.55372,USD,SZL
2025-08-18,08/18/2025,3.64036,USD,QAR
2025-08-18,08/18/2025,0.80633,USD,CHF
2025-08-18,08/18/2025,9.54135,USD,SEK
2025-08-18,08/18/2025,0.38422,USD,OMR
2025-08-18,08/18/2025,0.30547,USD,KWD
2025-08-18,08/18/2025,17.5975,USD,ZAR
2025-08-18,08/18/2025,7.1821,USD,CNY
2025-08-18,08/18/2025,40.88461,USD,TRY
2025-08-18,08/18/2025,6.37182,USD,DKK
2025-08-18,08/18/2025,32.45012,USD,thb
2025-08-18,08/18/2025,0.37647,USD,BHD
2025-08-18,08/18/2025,1.68803,USD,NZD
2025-08-18,08/18/2025,89415.13223,USD,LBP
2025-08-18,08/18/2025,1307.98479,USD,IQD
2025-08-18,08/18/2025,0.18895,SAR,JOD
2025-08-18,08/18/2025,0.26649,SAR,USD
2025-08-18,08/18/2025,0.22749,SAR,EUR
2025-08-18,08/18/2025,39.22358,SAR,JPY
2025-08-18,08/18/2025,0.97868,SAR,AED
2025-08-18,08/18/2025,0.40946,SAR,AUD
2025-08-18,08/18/2025,0.19645,SAR,GBP
2025-08-18,08/18/2025,23.32138,SAR,INR
2025-08-18,08/18/2025,12.85002,SAR,EGP
2025-08-18,08/18/2025,0.36814,SAR,CAD
2025-08-18,08/18/2025,11222.51481,SAR,IRR
2025-08-18,08/18/2025,4.67787,SAR,SZL
2025-08-18,08/18/2025,0.97012,SAR,QAR
2025-08-18,08/18/2025,0.21488,SAR,CHF
2025-08-18,08/18/2025,2.54266,SAR,SEK
2025-08-18,08/18/2025,0.10239,SAR,OMR
2025-08-18,08/18/2025,0.0814,SAR,KWD
2025-08-18,08/18/2025,4.68954,SAR,ZAR
2025-08-18,08/18/2025,1.91395,SAR,CNY
2025-08-18,08/18/2025,10.8953,SAR,TRY
2025-08-18,08/18/2025,1.69802,SAR,DKK
2025-08-18,08/18/2025,8.6476,SAR,thb
2025-08-18,08/18/2025,0.10033,SAR,BHD
2025-08-18,08/18/2025,0.44984,SAR,NZD
2025-08-18,08/18/2025,23828.14369,SAR,LBP
2025-08-18,08/18/2025,348.56348,SAR,IQD
2025-08-18,08/18/2025,0.83059,EUR,JOD
2025-08-18,08/18/2025,1.17144,EUR,USD
2025-08-18,08/18/2025,4.39583,EUR,SAR
2025-08-18,08/18/2025,172.42026,EUR,JPY
2025-08-18,08/18/2025,4.30212,EUR,AED
2025-08-18,08/18/2025,1.79991,EUR,AUD
2025-08-18,08/18/2025,0.86358,EUR,GBP
2025-08-18,08/18/2025,102.51687,EUR,INR
2025-08-18,08/18/2025,56.48655,EUR,EGP
2025-08-18,08/18/2025,1.61828,EUR,CAD
2025-08-18,08/18/2025,49332.29436,EUR,IRR
2025-08-18,08/18/2025,20.56315,EUR,SZL
2025-08-18,08/18/2025,4.26447,EUR,QAR
2025-08-18,08/18/2025,0.94457,EUR,CHF
2025-08-18,08/18/2025,11.17712,EUR,SEK
2025-08-18,08/18/2025,0.45009,EUR,OMR
2025-08-18,08/18/2025,0.35784,EUR,KWD
2025-08-18,08/18/2025,20.61443,EUR,ZAR
2025-08-18,08/18/2025,8.4134,EUR,CNY
2025-08-18,08/18/2025,47.8939,EUR,TRY
2025-08-18,08/18/2025,7.46421,EUR,DKK
2025-08-18,08/18/2025,38.01339,EUR,thb
2025-08-18,08/18/2025,0.44101,EUR,BHD
2025-08-18,08/18/2025,1.97743,EUR,NZD
2025-08-18,08/18/2025,104744.52641,EUR,LBP
2025-08-18,08/18/2025,1532.22664,EUR,IQD
2025-08-18,08/18/2025,0.00482,JPY,JOD
2025-08-18,08/18/2025,0.00679,JPY,USD
2025-08-18,08/18/2025,0.0255,JPY,SAR
2025-08-18,08/18/2025,0.0058,JPY,EUR
2025-08-18,08/18/2025,0.02495,JPY,AED
2025-08-18,08/18/2025,0.01044,JPY,AUD
2025-08-18,08/18/2025,0.00501,JPY,GBP
2025-08-18,08/18/2025,0.59458,JPY,INR
2025-08-18,08/18/2025,0.32761,JPY,EGP
2025-08-18,08/18/2025,0.00939,JPY,CAD
2025-08-18,08/18/2025,286.11657,JPY,IRR
2025-08-18,08/18/2025,0.11926,JPY,SZL
2025-08-18,08/18/2025,0.02473,JPY,QAR
2025-08-18,08/18/2025,0.00548,JPY,CHF
2025-08-18,08/18/2025,0.06483,JPY,SEK
2025-08-18,08/18/2025,0.00261,JPY,OMR
2025-08-18,08/18/2025,0.00208,JPY,KWD
2025-08-18,08/18/2025,0.11956,JPY,ZAR
2025-08-18,08/18/2025,0.0488,JPY,CNY
2025-08-18,08/18/2025,0.27777,JPY,TRY
2025-08-18,08/18/2025,0.04329,JPY,DKK
2025-08-18,08/18/2025,0.22047,JPY,thb
2025-08-18,08/18/2025,0.00256,JPY,BHD
2025-08-18,08/18/2025,0.01147,JPY,NZD
2025-08-18,08/18/2025,607.49546,JPY,LBP
2025-08-18,08/18/2025,8.88658,JPY,IQD
2025-08-18,08/18/2025,0.19307,AED,JOD
2025-08-18,08/18/2025,0.27229,AED,USD
2025-08-18,08/18/2025,1.02178,AED,SAR
2025-08-18,08/18/2025,0.23244,AED,EUR
2025-08-18,08/18/2025,40.07796,AED,JPY
2025-08-18,08/18/2025,0.41838,AED,AUD
2025-08-18,08/18/2025,0.20073,AED,GBP
2025-08-18,08/18/2025,23.82938,AED,INR
2025-08-18,08/18/2025,13.12993,AED,EGP
2025-08-18,08/18/2025,0.37616,AED,CAD
2025-08-18,08/18/2025,11466.96828,AED,IRR
2025-08-18,08/18/2025,4.77977,AED,SZL
2025-08-18,08/18/2025,0.99125,AED,QAR
2025-08-18,08/18/2025,0.21956,AED,CHF
2025-08-18,08/18/2025,2.59805,AED,SEK
2025-08-18,08/18/2025,0.10462,AED,OMR
2025-08-18,08/18/2025,0.08318,AED,KWD
2025-08-18,08/18/2025,4.79169,AED,ZAR
2025-08-18,08/18/2025,1.95564,AED,CNY
2025-08-18,08/18/2025,11.13262,AED,TRY
2025-08-18,08/18/2025,1.73501,AED,DKK
2025-08-18,08/18/2025,8.83596,AED,thb
2025-08-18,08/18/2025,0.10251,AED,BHD
2025-08-18,08/18/2025,0.45964,AED,NZD
2025-08-18,08/18/2025,24347.1782,AED,LBP
2025-08-18,08/18/2025,356.15603,AED,IQD
2025-08-18,08/18/2025,0.46146,AUD,JOD
2025-08-18,08/18/2025,0.65083,AUD,USD
2025-08-18,08/18/2025,2.44226,AUD,SAR
2025-08-18,08/18/2025,0.55558,AUD,EUR
2025-08-18,08/18/2025,95.79399,AUD,JPY
2025-08-18,08/18/2025,2.39019,AUD,AED
2025-08-18,08/18/2025,0.47979,AUD,GBP
2025-08-18,08/18/2025,56.95677,AUD,INR
2025-08-18,08/18/2025,31.38304,AUD,EGP
2025-08-18,08/18/2025,0.89909,AUD,CAD
2025-08-18,08/18/2025,27408.24832,AUD,IRR
2025-08-18,08/18/2025,11.42456,AUD,SZL
2025-08-18,08/18/2025,2.36927,AUD,QAR
2025-08-18,08/18/2025,0.52479,AUD,CHF
2025-08-18,08/18/2025,6.20983,AUD,SEK
2025-08-18,08/18/2025,0.25006,AUD,OMR
2025-08-18,08/18/2025,0.19881,AUD,KWD
2025-08-18,08/18/2025,11.45305,AUD,ZAR
2025-08-18,08/18/2025,4.67435,AUD,CNY
2025-08-18,08/18/2025,26.6091,AUD,TRY
2025-08-18,08/18/2025,4.147,AUD,DKK
2025-08-18,08/18/2025,21.11964,AUD,thb
2025-08-18,08/18/2025,0.24502,AUD,BHD
2025-08-18,08/18/2025,1.09863,AUD,NZD
2025-08-18,08/18/2025,58194.41456,AUD,LBP
2025-08-18,08/18/2025,851.28107,AUD,IQD
2025-08-18,08/18/2025,0.96181,GBP,JOD
2025-08-18,08/18/2025,1.3565,GBP,USD
2025-08-18,08/18/2025,5.09027,GBP,SAR
2025-08-18,08/18/2025,1.15798,GBP,EUR
2025-08-18,08/18/2025,199.65872,GBP,JPY
2025-08-18,08/18/2025,4.98176,GBP,AED
2025-08-18,08/18/2025,2.08425,GBP,AUD
2025-08-18,08/18/2025,118.7122,GBP,INR
2025-08-18,08/18/2025,65.41014,GBP,EGP
2025-08-18,08/18/2025,1.87393,GBP,CAD
2025-08-18,08/18/2025,57125.66951,GBP,IRR
2025-08-18,08/18/2025,23.81165,GBP,SZL
2025-08-18,08/18/2025,4.93816,GBP,QAR
2025-08-18,08/18/2025,1.09379,GBP,CHF
2025-08-18,08/18/2025,12.94285,GBP,SEK
2025-08-18,08/18/2025,0.52119,GBP,OMR
2025-08-18,08/18/2025,0.41437,GBP,KWD
2025-08-18,08/18/2025,23.87104,GBP,ZAR
2025-08-18,08/18/2025,9.74253,GBP,CNY
2025-08-18,08/18/2025,55.46004,GBP,TRY
2025-08-18,08/18/2025,8.64338,GBP,DKK
2025-08-18,08/18/2025,44.01863,GBP,thb
2025-08-18,08/18/2025,0.51068,GBP,BHD
