_service_date,exChangeRateDate,exChangeRateValue,sourceCurrency,targetCurrency,FromCurrency,ToCurrency
2025-08-18,08/18/2025,1.41037,JOD,USD,JOD,USD
2025-08-18,08/18/2025,5.2924,JOD,SAR,JOD,SAR
2025-08-18,08/18/2025,1.20396,JOD,EUR,JOD,EUR
2025-08-18,08/18/2025,207.58696,JOD,JPY,JOD,JPY
2025-08-18,08/18/2025,5.17958,JOD,AED,JOD,AED
2025-08-18,08/18/2025,1.03971,JOD,GBP,JOD,GBP
2025-08-18,08/18/2025,5.13425,JOD,QAR,JOD,QAR
2025-08-18,08/18/2025,1.13722,JOD,CHF,JOD,CHF
2025-08-18,08/18/2025,1844.73838,JOD,IQD,JOD,IQD
2025-08-18,08/18/2025,0.70904,USD,JOD,USD,JOD
2025-08-18,08/18/2025,3.7525,USD,SAR,USD,SAR
2025-08-18,08/18/2025,0.85365,USD,EUR,USD,EUR
2025-08-18,08/18/2025,3.67251,USD,AED,USD,AED
2025-08-18,08/18/2025,0.73719,USD,GBP,USD,GBP
2025-08-18,08/18/2025,87.5135,USD,INR,USD,INR
2025-08-18,08/18/2025,48.21973,USD,EGP,USD,EGP
2025-08-18,08/18/2025,3.64036,USD,QAR,USD,QAR
2025-08-18,08/18/2025,17.5975,USD,ZAR,USD,ZAR
2025-08-18,08/18/2025,40.88461,USD,TRY,USD,TRY
2025-08-18,08/18/2025,1307.98479,USD,IQD,USD,IQD
2025-08-18,08/18/2025,0.18895,SAR,JOD,SAR,JOD
2025-08-18,08/18/2025,0.26649,SAR,USD,SAR,USD
2025-08-18,08/18/2025,0.22749,SAR,EUR,SAR,EUR
2025-08-18,08/18/2025,39.22358,SAR,JPY,SAR,JPY
2025-08-18,08/18/2025,0.97868,SAR,AED,SAR,AED
2025-08-18,08/18/2025,0.40946,SAR,AUD,SAR,AUD
2025-08-18,08/18/2025,0.19645,SAR,GBP,SAR,GBP
2025-08-18,08/18/2025,23.32138,SAR,INR,SAR,INR
2025-08-18,08/18/2025,12.85002,SAR,EGP,SAR,EGP
2025-08-18,08/18/2025,0.36814,SAR,CAD,SAR,CAD
2025-08-18,08/18/2025,0.97012,SAR,QAR,SAR,QAR
2025-08-18,08/18/2025,0.21488,SAR,CHF,SAR,CHF
2025-08-18,08/18/2025,2.54266,SAR,SEK,SAR,SEK
2025-08-18,08/18/2025,0.10239,SAR,OMR,SAR,OMR
2025-08-18,08/18/2025,0.0814,SAR,KWD,SAR,KWD
2025-08-18,08/18/2025,4.68954,SAR,ZAR,SAR,ZAR
2025-08-18,08/18/2025,1.91395,SAR,CNY,SAR,CNY
2025-08-18,08/18/2025,10.8953,SAR,TRY,SAR,TRY
2025-08-18,08/18/2025,1.69802,SAR,DKK,SAR,DKK
2025-08-18,08/18/2025,8.6476,SAR,thb,SAR,THB
2025-08-18,08/18/2025,0.44984,SAR,NZD,SAR,NZD
2025-08-18,08/18/2025,348.56348,SAR,IQD,SAR,IQD
2025-08-18,08/18/2025,0.83059,EUR,JOD,EUR,JOD
2025-08-18,08/18/2025,1.17144,EUR,USD,EUR,USD
2025-08-18,08/18/2025,4.39583,EUR,SAR,EUR,SAR
2025-08-18,08/18/2025,4.30212,EUR,AED,EUR,AED
2025-08-18,08/18/2025,0.86358,EUR,GBP,EUR,GBP
2025-08-18,08/18/2025,102.51687,EUR,INR,EUR,INR
2025-08-18,08/18/2025,56.48655,EUR,EGP,EUR,EGP
2025-08-18,08/18/2025,4.26447,EUR,QAR,EUR,QAR
