_service_date,exChangeRateDate,exChangeRateValue,sourceCurrency,targetCurrency
2025-08-20,08/20/2025,1.41052,JOD,USD
2025-08-20,08/20/2025,5.29299,JOD,SAR
2025-08-20,08/20/2025,1.21115,JOD,EUR
2025-08-20,08/20/2025,208.24983,JOD,JPY
2025-08-20,08/20/2025,5.18077,JOD,AED
2025-08-20,08/20/2025,2.18478,JOD,AUD
2025-08-20,08/20/2025,1.04555,JOD,GBP
2025-08-20,08/20/2025,122.84089,JOD,INR
2025-08-20,08/20/2025,68.36606,JOD,EGP
2025-08-20,08/20/2025,1.95589,JOD,CAD
2025-08-20,08/20/2025,59333.30426,JOD,IRR
2025-08-20,08/20/2025,24.95164,JOD,SZL
2025-08-20,08/20/2025,5.13533,JOD,QAR
2025-08-20,08/20/2025,1.13895,JOD,CHF
2025-08-20,08/20/2025,13.54022,JOD,SEK
2025-08-20,08/20/2025,0.54229,JOD,OMR
2025-08-20,08/20/2025,0.43121,JOD,KWD
2025-08-20,08/20/2025,24.94471,JOD,ZAR
2025-08-20,08/20/2025,10.13089,JOD,CNY
2025-08-20,08/20/2025,57.68202,JOD,TRY
2025-08-20,08/20/2025,9.04042,JOD,DKK
2025-08-20,08/20/2025,45.96904,JOD,thb
2025-08-20,08/20/2025,0.53174,JOD,BHD
2025-08-20,08/20/2025,2.39266,JOD,NZD
2025-08-20,08/20/2025,126311.59903,JOD,LBP
2025-08-20,08/20/2025,1847.77437,JOD,IQD
2025-08-20,08/20/2025,0.70896,USD,JOD
2025-08-20,08/20/2025,3.75252,USD,SAR
2025-08-20,08/20/2025,0.85866,USD,EUR
2025-08-20,08/20/2025,147.64101,USD,JPY
2025-08-20,08/20/2025,3.67296,USD,AED
2025-08-20,08/20/2025,1.54892,USD,AUD
2025-08-20,08/20/2025,0.74125,USD,GBP
2025-08-20,08/20/2025,87.0894,USD,INR
2025-08-20,08/20/2025,48.46887,USD,EGP
2025-08-20,08/20/2025,1.38665,USD,CAD
2025-08-20,08/20/2025,42064.99975,USD,IRR
2025-08-20,08/20/2025,17.68974,USD,SZL
2025-08-20,08/20/2025,3.64075,USD,QAR
2025-08-20,08/20/2025,0.80747,USD,CHF
2025-08-20,08/20/2025,9.59949,USD,SEK
2025-08-20,08/20/2025,0.38446,USD,OMR
2025-08-20,08/20/2025,0.30571,USD,KWD
2025-08-20,08/20/2025,17.68483,USD,ZAR
2025-08-20,08/20/2025,7.1824,USD,CNY
2025-08-20,08/20/2025,40.8943,USD,TRY
2025-08-20,08/20/2025,6.4093,USD,DKK
2025-08-20,08/20/2025,32.59026,USD,thb
2025-08-20,08/20/2025,0.37698,USD,BHD
2025-08-20,08/20/2025,1.6963,USD,NZD
2025-08-20,08/20/2025,89549.99974,USD,LBP
2025-08-20,08/20/2025,1310.0,USD,IQD
2025-08-20,08/20/2025,0.18893,SAR,JOD
2025-08-20,08/20/2025,0.26649,SAR,USD
2025-08-20,08/20/2025,0.22882,SAR,EUR
2025-08-20,08/20/2025,39.34448,SAR,JPY
2025-08-20,08/20/2025,0.9788,SAR,AED
2025-08-20,08/20/2025,0.41277,SAR,AUD
2025-08-20,08/20/2025,0.19753,SAR,GBP
2025-08-20,08/20/2025,23.20823,SAR,INR
2025-08-20,08/20/2025,12.91635,SAR,EGP
2025-08-20,08/20/2025,0.36953,SAR,CAD
2025-08-20,08/20/2025,11209.79405,SAR,IRR
2025-08-20,08/20/2025,4.71409,SAR,SZL
2025-08-20,08/20/2025,0.97021,SAR,QAR
2025-08-20,08/20/2025,0.21518,SAR,CHF
2025-08-20,08/20/2025,2.55814,SAR,SEK
2025-08-20,08/20/2025,0.10246,SAR,OMR
2025-08-20,08/20/2025,0.08147,SAR,KWD
2025-08-20,08/20/2025,4.71278,SAR,ZAR
