_service_date,exChangeRateDate,exChangeRateValue,sourceCurrency,targetCurrency,FromCurrency,ToCurrency
2025-08-09,08/09/2025,1.41036,JOD,USD,JOD,USD
2025-08-09,08/09/2025,5.29331,JOD,SAR,JOD,SAR
2025-08-09,08/09/2025,1.2108,JOD,EUR,JOD,EUR
2025-08-09,08/09/2025,208.25078,JOD,JPY,JOD,JPY
2025-08-09,08/09/2025,5.18031,JOD,AED,JOD,AED
2025-08-09,08/09/2025,1.04844,JOD,GBP,JOD,GBP
2025-08-09,08/09/2025,5.15101,JOD,QAR,JOD,QAR
2025-08-09,08/09/2025,1.14005,JOD,CHF,JOD,CHF
2025-08-09,08/09/2025,1846.19376,JOD,IQD,JOD,IQD
2025-08-09,08/09/2025,0.70904,USD,JOD,USD,JOD
2025-08-09,08/09/2025,3.75316,USD,SAR,USD,SAR
2025-08-09,08/09/2025,0.8585,USD,EUR,USD,EUR
2025-08-09,08/09/2025,3.67304,USD,AED,USD,AED
2025-08-09,08/09/2025,0.74338,USD,GBP,USD,GBP
2025-08-09,08/09/2025,87.72775,USD,INR,USD,INR
2025-08-09,08/09/2025,48.17218,USD,EGP,USD,EGP
2025-08-09,08/09/2025,3.65227,USD,QAR,USD,QAR
2025-08-09,08/09/2025,17.75659,USD,ZAR,USD,ZAR
2025-08-09,08/09/2025,40.79504,USD,TRY,USD,TRY
2025-08-09,08/09/2025,1309.02439,USD,IQD,USD,IQD
2025-08-09,08/09/2025,0.18892,SAR,JOD,SAR,JOD
2025-08-09,08/09/2025,0.26644,SAR,USD,SAR,USD
2025-08-09,08/09/2025,0.22874,SAR,EUR,SAR,EUR
2025-08-09,08/09/2025,39.3423,SAR,JPY,SAR,JPY
2025-08-09,08/09/2025,0.97865,SAR,AED,SAR,AED
2025-08-09,08/09/2025,0.40828,SAR,AUD,SAR,AUD
2025-08-09,08/09/2025,0.19807,SAR,GBP,SAR,GBP
2025-08-09,08/09/2025,23.37436,SAR,INR,SAR,INR
2025-08-09,08/09/2025,12.83509,SAR,EGP,SAR,EGP
2025-08-09,08/09/2025,0.36645,SAR,CAD,SAR,CAD
2025-08-09,08/09/2025,0.97312,SAR,QAR,SAR,QAR
2025-08-09,08/09/2025,0.21538,SAR,CHF,SAR,CHF
2025-08-09,08/09/2025,2.5522,SAR,SEK,SAR,SEK
2025-08-09,08/09/2025,0.10171,SAR,OMR,SAR,OMR
2025-08-09,08/09/2025,0.08141,SAR,KWD,SAR,KWD
2025-08-09,08/09/2025,4.7311,SAR,ZAR,SAR,ZAR
2025-08-09,08/09/2025,1.91345,SAR,CNY,SAR,CNY
2025-08-09,08/09/2025,10.86951,SAR,TRY,SAR,TRY
2025-08-09,08/09/2025,1.70829,SAR,DKK,SAR,DKK
2025-08-09,08/09/2025,8.5804,SAR,thb,SAR,THB
2025-08-09,08/09/2025,0.44698,SAR,NZD,SAR,NZD
2025-08-09,08/09/2025,348.77905,SAR,IQD,SAR,IQD
2025-08-09,08/09/2025,0.8259,EUR,JOD,EUR,JOD
2025-08-09,08/09/2025,1.16482,EUR,USD,EUR,USD
2025-08-09,08/09/2025,4.37175,EUR,SAR,EUR,SAR
2025-08-09,08/09/2025,4.27842,EUR,AED,EUR,AED
2025-08-09,08/09/2025,0.86591,EUR,GBP,EUR,GBP
2025-08-09,08/09/2025,102.18676,EUR,INR,EUR,INR
2025-08-09,08/09/2025,56.11177,EUR,EGP,EUR,EGP
2025-08-09,08/09/2025,4.25422,EUR,QAR,EUR,QAR
2025-08-09,08/09/2025,0.94157,EUR,CHF,EUR,CHF
2025-08-09,08/09/2025,20.68318,EUR,ZAR,EUR,ZAR
2025-08-09,08/09/2025,47.51875,EUR,TRY,EUR,TRY
2025-08-09,08/09/2025,1524.7736,EUR,IQD,EUR,IQD
2025-08-09,08/09/2025,0.00677,JPY,USD,JPY,USD
2025-08-09,08/09/2025,0.02542,JPY,SAR,JPY,SAR
2025-08-09,08/09/2025,0.00581,JPY,EUR,JPY,EUR
2025-08-09,08/09/2025,0.02488,JPY,AED,JPY,AED
2025-08-09,08/09/2025,0.00503,JPY,GBP,JPY,GBP
2025-08-09,08/09/2025,0.32624,JPY,EGP,JPY,EGP
2025-08-09,08/09/2025,0.02474,JPY,QAR,JPY,QAR
2025-08-09,08/09/2025,0.19304,AED,JOD,AED,JOD
2025-08-09,08/09/2025,0.27225,AED,USD,AED,USD
2025-08-09,08/09/2025,1.02181,AED,SAR,AED,SAR
2025-08-09,08/09/2025,0.23373,AED,EUR,AED,EUR
2025-08-09,08/09/2025,40.20048,AED,JPY,AED,JPY
2025-08-09,08/09/2025,0.41718,AED,AUD,AED,AUD
2025-08-09,08/09/2025,0.20239,AED,GBP,AED,GBP
2025-08-09,08/09/2025,23.88423,AED,INR,AED,INR
2025-08-09,08/09/2025,13.11507,AED,EGP,AED,EGP
2025-08-09,08/09/2025,0.37445,AED,CAD,AED,CAD
2025-08-09,08/09/2025,0.99434,AED,QAR,AED,QAR
2025-08-09,08/09/2025,0.22007,AED,CHF,AED,CHF
2025-08-09,08/09/2025,2.60787,AED,SEK,AED,SEK
2025-08-09,08/09/2025,0.10393,AED,OMR,AED,OMR
2025-08-09,08/09/2025,0.08318,AED,KWD,AED,KWD
2025-08-09,08/09/2025,4.8343,AED,ZAR,AED,ZAR
2025-08-09,08/09/2025,1.95519,AED,CNY,AED,CNY
2025-08-09,08/09/2025,11.10661,AED,TRY,AED,TRY
2025-08-09,08/09/2025,1.74556,AED,DKK,AED,DKK
2025-08-09,08/09/2025,8.76757,AED,thb,AED,THB
2025-08-09,08/09/2025,0.45673,AED,NZD,AED,NZD
2025-08-09,08/09/2025,356.38704,AED,IQD,AED,IQD
2025-08-09,08/09/2025,0.6526,AUD,USD,AUD,USD
2025-08-09,08/09/2025,2.44931,AUD,SAR,AUD,SAR
2025-08-09,08/09/2025,0.56026,AUD,EUR,AUD,EUR
2025-08-09,08/09/2025,2.39703,AUD,AED,AUD,AED
2025-08-09,08/09/2025,0.48513,AUD,GBP,AUD,GBP
2025-08-09,08/09/2025,2.38347,AUD,QAR,AUD,QAR
2025-08-09,08/09/2025,0.9538,GBP,JOD,GBP,JOD
2025-08-09,08/09/2025,1.3452,GBP,USD,GBP,USD
2025-08-09,08/09/2025,5.04875,GBP,SAR,GBP,SAR
2025-08-09,08/09/2025,1.15486,GBP,EUR,GBP,EUR
2025-08-09,08/09/2025,4.94098,GBP,AED,GBP,AED
2025-08-09,08/09/2025,118.01137,GBP,INR,GBP,INR
2025-08-09,08/09/2025,64.80122,GBP,EGP,GBP,EGP
2025-08-09,08/09/2025,4.91303,GBP,QAR,GBP,QAR
2025-08-09,08/09/2025,54.87749,GBP,TRY,GBP,TRY
2025-08-09,08/09/2025,0.0114,INR,USD,INR,USD
2025-08-09,08/09/2025,0.04278,INR,SAR,INR,SAR
2025-08-09,08/09/2025,0.00979,INR,EUR,INR,EUR
2025-08-09,08/09/2025,0.04187,INR,AED,INR,AED
2025-08-09,08/09/2025,0.00847,INR,GBP,INR,GBP
2025-08-09,08/09/2025,0.54911,INR,EGP,INR,EGP
2025-08-09,08/09/2025,0.04163,INR,QAR,INR,QAR
2025-08-09,08/09/2025,0.02076,EGP,USD,EGP,USD
2025-08-09,08/09/2025,0.07791,EGP,SAR,EGP,SAR
2025-08-09,08/09/2025,0.01782,EGP,EUR,EGP,EUR
2025-08-09,08/09/2025,0.07625,EGP,AED,EGP,AED
2025-08-09,08/09/2025,0.01543,EGP,GBP,EGP,GBP
2025-08-09,08/09/2025,0.07582,EGP,QAR,EGP,QAR
2025-08-09,08/09/2025,0.72709,CAD,USD,CAD,USD
2025-08-09,08/09/2025,2.72888,CAD,SAR,CAD,SAR
2025-08-09,08/09/2025,0.62421,CAD,EUR,CAD,EUR
2025-08-09,08/09/2025,2.67062,CAD,AED,CAD,AED
2025-08-09,08/09/2025,0.54051,CAD,GBP,CAD,GBP
2025-08-09,08/09/2025,2.65552,CAD,QAR,CAD,QAR
2025-08-09,08/09/2025,0.19414,QAR,JOD,QAR,JOD
2025-08-09,08/09/2025,1.02763,QAR,SAR,QAR,SAR
2025-08-09,08/09/2025,40.42915,QAR,JPY,QAR,JPY
2025-08-09,08/09/2025,1.00569,QAR,AED,QAR,AED
2025-08-09,08/09/2025,0.41956,QAR,AUD,QAR,AUD
2025-08-09,08/09/2025,0.20354,QAR,GBP,QAR,GBP
2025-08-09,08/09/2025,24.02009,QAR,INR,QAR,INR
2025-08-09,08/09/2025,13.18967,QAR,EGP,QAR,EGP
2025-08-09,08/09/2025,0.37657,QAR,CAD,QAR,CAD
2025-08-09,08/09/2025,0.22133,QAR,CHF,QAR,CHF
2025-08-09,08/09/2025,2.6227,QAR,SEK,QAR,SEK
2025-08-09,08/09/2025,0.10452,QAR,OMR,QAR,OMR
2025-08-09,08/09/2025,0.08366,QAR,KWD,QAR,KWD
2025-08-09,08/09/2025,4.8618,QAR,ZAR,QAR,ZAR
2025-08-09,08/09/2025,1.96631,QAR,CNY,QAR,CNY
2025-08-09,08/09/2025,11.16979,QAR,TRY,QAR,TRY
2025-08-09,08/09/2025,1.75549,QAR,DKK,QAR,DKK
2025-08-09,08/09/2025,8.81744,QAR,thb,QAR,THB
2025-08-09,08/09/2025,0.45932,QAR,NZD,QAR,NZD
2025-08-09,08/09/2025,1.2371,CHF,USD,CHF,USD
2025-08-09,08/09/2025,4.64304,CHF,SAR,CHF,SAR
2025-08-09,08/09/2025,1.06206,CHF,EUR,CHF,EUR
2025-08-09,08/09/2025,4.54392,CHF,AED,CHF,AED
2025-08-09,08/09/2025,0.91964,CHF,GBP,CHF,GBP
2025-08-09,08/09/2025,4.51822,CHF,QAR,CHF,QAR
2025-08-09,08/09/2025,0.39182,SEK,SAR,SEK,SAR
2025-08-09,08/09/2025,9.83184,OMR,SAR,OMR,SAR
2025-08-09,08/09/2025,9.62196,OMR,AED,OMR,AED
2025-08-09,08/09/2025,9.56753,OMR,QAR,OMR,QAR
2025-08-09,08/09/2025,12.28409,KWD,SAR,KWD,SAR
2025-08-09,08/09/2025,2.80988,KWD,EUR,KWD,EUR
2025-08-09,08/09/2025,12.02185,KWD,AED,KWD,AED
2025-08-09,08/09/2025,2.43309,KWD,GBP,KWD,GBP
2025-08-09,08/09/2025,11.95386,KWD,QAR,KWD,QAR
2025-08-09,08/09/2025,0.05632,ZAR,USD,ZAR,USD
2025-08-09,08/09/2025,0.21137,ZAR,SAR,ZAR,SAR
2025-08-09,08/09/2025,0.20686,ZAR,AED,ZAR,AED
2025-08-09,08/09/2025,2.71292,ZAR,EGP,ZAR,EGP
