_service_date,exChangeRateDate,exChangeRateValue,sourceCurrency,targetCurrency,FromCurrency,ToCurrency
2025-08-01,08/01/2025,1.41049,JOD,USD,JOD,USD
2025-08-01,08/01/2025,5.29115,JOD,SAR,JOD,SAR
2025-08-01,08/01/2025,1.23531,JOD,EUR,JOD,EUR
2025-08-01,08/01/2025,212.61342,JOD,JPY,JOD,JPY
2025-08-01,08/01/2025,5.1807,JOD,AED,JOD,AED
2025-08-01,08/01/2025,1.06779,JOD,GBP,JOD,GBP
2025-08-01,08/01/2025,5.13525,JOD,QAR,JOD,QAR
2025-08-01,08/01/2025,1.14614,JOD,CHF,JOD,CHF
2025-08-01,08/01/2025,1847.74497,JOD,IQD,JOD,IQD
2025-08-01,08/01/2025,0.70897,USD,JOD,USD,JOD
2025-08-01,08/01/2025,3.75128,USD,SAR,USD,SAR
2025-08-01,08/01/2025,0.8758,USD,EUR,USD,EUR
2025-08-01,08/01/2025,3.67297,USD,AED,USD,AED
2025-08-01,08/01/2025,0.75703,USD,GBP,USD,GBP
2025-08-01,08/01/2025,87.48805,USD,INR,USD,INR
2025-08-01,08/01/2025,48.5687,USD,EGP,USD,EGP
2025-08-01,08/01/2025,3.64075,USD,QAR,USD,QAR
2025-08-01,08/01/2025,18.2202,USD,ZAR,USD,ZAR
2025-08-01,08/01/2025,40.6699,USD,TRY,USD,TRY
2025-08-01,08/01/2025,1310.0,USD,IQD,USD,IQD
2025-08-01,08/01/2025,0.189,SAR,JOD,SAR,JOD
2025-08-01,08/01/2025,0.26658,SAR,USD,SAR,USD
2025-08-01,08/01/2025,0.23347,SAR,EUR,SAR,EUR
2025-08-01,08/01/2025,40.18287,SAR,JPY,SAR,JPY
2025-08-01,08/01/2025,0.97913,SAR,AED,SAR,AED
2025-08-01,08/01/2025,0.41481,SAR,AUD,SAR,AUD
2025-08-01,08/01/2025,0.20181,SAR,GBP,SAR,GBP
2025-08-01,08/01/2025,23.32221,SAR,INR,SAR,INR
2025-08-01,08/01/2025,12.94725,SAR,EGP,SAR,EGP
2025-08-01,08/01/2025,0.36926,SAR,CAD,SAR,CAD
2025-08-01,08/01/2025,0.97054,SAR,QAR,SAR,QAR
2025-08-01,08/01/2025,0.21661,SAR,CHF,SAR,CHF
2025-08-01,08/01/2025,2.61128,SAR,SEK,SAR,SEK
2025-08-01,08/01/2025,0.1025,SAR,OMR,SAR,OMR
2025-08-01,08/01/2025,0.08161,SAR,KWD,SAR,KWD
2025-08-01,08/01/2025,4.85707,SAR,ZAR,SAR,ZAR
2025-08-01,08/01/2025,1.91947,SAR,CNY,SAR,CNY
2025-08-01,08/01/2025,10.84162,SAR,TRY,SAR,TRY
2025-08-01,08/01/2025,1.74251,SAR,DKK,SAR,DKK
2025-08-01,08/01/2025,8.7357,SAR,thb,SAR,THB
2025-08-01,08/01/2025,0.4527,SAR,NZD,SAR,NZD
2025-08-01,08/01/2025,349.21449,SAR,IQD,SAR,IQD
2025-08-01,08/01/2025,0.80952,EUR,JOD,EUR,JOD
2025-08-01,08/01/2025,1.14181,EUR,USD,EUR,USD
2025-08-01,08/01/2025,4.28326,EUR,SAR,EUR,SAR
