_service_date,exChangeRateDate,exChangeRateValue,sourceCurrency,targetCurrency
2025-08-30,08/30/2025,1.41036,JOD,USD
2025-08-30,08/30/2025,5.29228,JOD,SAR
2025-08-30,08/30/2025,1.20699,JOD,EUR
2025-08-30,08/30/2025,207.39892,JOD,JPY
2025-08-30,08/30/2025,5.17955,JOD,AED
2025-08-30,08/30/2025,2.15687,JOD,AUD
2025-08-30,08/30/2025,1.04432,JOD,GBP
2025-08-30,08/30/2025,124.34772,JOD,INR
2025-08-30,08/30/2025,68.28127,JOD,EGP
2025-08-30,08/30/2025,1.93903,JOD,CAD
2025-08-30,08/30/2025,59340.83687,JOD,IRR
2025-08-30,08/30/2025,24.87925,JOD,SZL
2025-08-30,08/30/2025,5.13456,JOD,QAR
2025-08-30,08/30/2025,1.129,JOD,CHF
2025-08-30,08/30/2025,13.34425,JOD,SEK
2025-08-30,08/30/2025,0.5406,JOD,OMR
2025-08-30,08/30/2025,0.43083,JOD,KWD
2025-08-30,08/30/2025,24.89707,JOD,ZAR
2025-08-30,08/30/2025,10.05699,JOD,CNY
2025-08-30,08/30/2025,57.97086,JOD,TRY
2025-08-30,08/30/2025,9.00895,JOD,DKK
2025-08-30,08/30/2025,45.51279,JOD,thb
2025-08-30,08/30/2025,0.53004,JOD,BHD
2025-08-30,08/30/2025,2.39247,JOD,NZD
2025-08-30,08/30/2025,126320.02229,JOD,LBP
2025-08-30,08/30/2025,1847.56971,JOD,IQD
2025-08-30,08/30/2025,0.70904,USD,JOD
2025-08-30,08/30/2025,3.75244,USD,SAR
2025-08-30,08/30/2025,0.8558,USD,EUR
2025-08-30,08/30/2025,147.05404,USD,JPY
2025-08-30,08/30/2025,3.6725,USD,AED
2025-08-30,08/30/2025,1.5293,USD,AUD
2025-08-30,08/30/2025,0.74047,USD,GBP
2025-08-30,08/30/2025,88.16745,USD,INR
2025-08-30,08/30/2025,48.41412,USD,EGP
2025-08-30,08/30/2025,1.37485,USD,CAD
2025-08-30,08/30/2025,42075.00035,USD,IRR
2025-08-30,08/30/2025,17.64037,USD,SZL
2025-08-30,08/30/2025,3.6406,USD,QAR
2025-08-30,08/30/2025,0.8005,USD,CHF
2025-08-30,08/30/2025,9.4616,USD,SEK
2025-08-30,08/30/2025,0.38331,USD,OMR
2025-08-30,08/30/2025,0.30548,USD,KWD
2025-08-30,08/30/2025,17.65301,USD,ZAR
2025-08-30,08/30/2025,7.1308,USD,CNY
2025-08-30,08/30/2025,41.10364,USD,TRY
2025-08-30,08/30/2025,6.3877,USD,DKK
2025-08-30,08/30/2025,32.27037,USD,thb
2025-08-30,08/30/2025,0.37582,USD,BHD
2025-08-30,08/30/2025,1.69635,USD,NZD
2025-08-30,08/30/2025,89565.89194,USD,LBP
2025-08-30,08/30/2025,1310.0,USD,IQD
2025-08-30,08/30/2025,0.18895,SAR,JOD
2025-08-30,08/30/2025,0.26649,SAR,USD
2025-08-30,08/30/2025,0.22807,SAR,EUR
2025-08-30,08/30/2025,39.18894,SAR,JPY
2025-08-30,08/30/2025,0.9787,SAR,AED
2025-08-30,08/30/2025,0.40755,SAR,AUD
2025-08-30,08/30/2025,0.19733,SAR,GBP
2025-08-30,08/30/2025,23.49605,SAR,INR
2025-08-30,08/30/2025,12.90205,SAR,EGP
2025-08-30,08/30/2025,0.36639,SAR,CAD
2025-08-30,08/30/2025,11212.71139,SAR,IRR
2025-08-30,08/30/2025,4.70104,SAR,SZL
2025-08-30,08/30/2025,0.9702,SAR,QAR
2025-08-30,08/30/2025,0.21333,SAR,CHF
2025-08-30,08/30/2025,2.52146,SAR,SEK
2025-08-30,08/30/2025,0.10215,SAR,OMR
2025-08-30,08/30/2025,0.08141,SAR,KWD
2025-08-30,08/30/2025,4.70441,SAR,ZAR
2025-08-30,08/30/2025,1.90031,SAR,CNY
2025-08-30,08/30/2025,10.95385,SAR,TRY
2025-08-30,08/30/2025,1.70228,SAR,DKK
2025-08-30,08/30/2025,8.59984,SAR,thb
2025-08-30,08/30/2025,0.10015,SAR,BHD
2025-08-30,08/30/2025,0.45207,SAR,NZD
2025-08-30,08/30/2025,23868.72224,SAR,LBP
2025-08-30,08/30/2025,349.1064,SAR,IQD
2025-08-30,08/30/2025,0.82851,EUR,JOD
2025-08-30,08/30/2025,1.16849,EUR,USD
2025-08-30,08/30/2025,4.38469,EUR,SAR
2025-08-30,08/30/2025,171.83143,EUR,JPY
2025-08-30,08/30/2025,4.29129,EUR,AED
2025-08-30,08/30/2025,1.78698,EUR,AUD
2025-08-30,08/30/2025,0.86523,EUR,GBP
2025-08-30,08/30/2025,103.02294,EUR,INR
2025-08-30,08/30/2025,56.5715,EUR,EGP
2025-08-30,08/30/2025,1.6065,EUR,CAD
2025-08-30,08/30/2025,49164.28914,EUR,IRR
2025-08-30,08/30/2025,20.61263,EUR,SZL
2025-08-30,08/30/2025,4.25402,EUR,QAR
2025-08-30,08/30/2025,0.93538,EUR,CHF
2025-08-30,08/30/2025,11.05581,EUR,SEK
2025-08-30,08/30/2025,0.44789,EUR,OMR
2025-08-30,08/30/2025,0.35695,EUR,KWD
2025-08-30,08/30/2025,20.6274,EUR,ZAR
2025-08-30,08/30/2025,8.33229,EUR,CNY
2025-08-30,08/30/2025,48.02926,EUR,TRY
2025-08-30,08/30/2025,7.46398,EUR,DKK
2025-08-30,08/30/2025,37.70766,EUR,thb
2025-08-30,08/30/2025,0.43914,EUR,BHD
2025-08-30,08/30/2025,1.98218,EUR,NZD
2025-08-30,08/30/2025,104657.0023,EUR,LBP
2025-08-30,08/30/2025,1530.72414,EUR,IQD
2025-08-30,08/30/2025,0.00482,JPY,JOD
2025-08-30,08/30/2025,0.0068,JPY,USD
2025-08-30,08/30/2025,0.02552,JPY,SAR
2025-08-30,08/30/2025,0.00582,JPY,EUR
2025-08-30,08/30/2025,0.02497,JPY,AED
2025-08-30,08/30/2025,0.0104,JPY,AUD
2025-08-30,08/30/2025,0.00504,JPY,GBP
2025-08-30,08/30/2025,0.59956,JPY,INR
2025-08-30,08/30/2025,0.32923,JPY,EGP
2025-08-30,08/30/2025,0.00935,JPY,CAD
2025-08-30,08/30/2025,286.11931,JPY,IRR
2025-08-30,08/30/2025,0.11996,JPY,SZL
2025-08-30,08/30/2025,0.02476,JPY,QAR
2025-08-30,08/30/2025,0.00544,JPY,CHF
2025-08-30,08/30/2025,0.06434,JPY,SEK
2025-08-30,08/30/2025,0.00261,JPY,OMR
2025-08-30,08/30/2025,0.00208,JPY,KWD
2025-08-30,08/30/2025,0.12004,JPY,ZAR
2025-08-30,08/30/2025,0.04849,JPY,CNY
2025-08-30,08/30/2025,0.27951,JPY,TRY
2025-08-30,08/30/2025,0.04344,JPY,DKK
2025-08-30,08/30/2025,0.21945,JPY,thb
2025-08-30,08/30/2025,0.00256,JPY,BHD
2025-08-30,08/30/2025,0.01154,JPY,NZD
2025-08-30,08/30/2025,609.06788,JPY,LBP
2025-08-30,08/30/2025,8.90829,JPY,IQD
2025-08-30,08/30/2025,0.19307,AED,JOD
2025-08-30,08/30/2025,0.27229,AED,USD
2025-08-30,08/30/2025,1.02177,AED,SAR
2025-08-30,08/30/2025,0.23303,AED,EUR
2025-08-30,08/30/2025,40.0419,AED,JPY
2025-08-30,08/30/2025,0.41642,AED,AUD
2025-08-30,08/30/2025,0.20162,AED,GBP
2025-08-30,08/30/2025,24.00745,AED,INR
2025-08-30,08/30/2025,13.18286,AED,EGP
2025-08-30,08/30/2025,0.37436,AED,CAD
2025-08-30,08/30/2025,11456.76021,AED,IRR
2025-08-30,08/30/2025,4.80336,AED,SZL
2025-08-30,08/30/2025,0.99131,AED,QAR
2025-08-30,08/30/2025,0.21797,AED,CHF
2025-08-30,08/30/2025,2.57634,AED,SEK
2025-08-30,08/30/2025,0.10437,AED,OMR
2025-08-30,08/30/2025,0.08318,AED,KWD
2025-08-30,08/30/2025,4.80681,AED,ZAR
2025-08-30,08/30/2025,1.94167,AED,CNY
2025-08-30,08/30/2025,11.19226,AED,TRY
2025-08-30,08/30/2025,1.73933,AED,DKK
2025-08-30,08/30/2025,8.78702,AED,thb
2025-08-30,08/30/2025,0.10233,AED,BHD
2025-08-30,08/30/2025,0.46191,AED,NZD
2025-08-30,08/30/2025,24388.23382,AED,LBP
2025-08-30,08/30/2025,356.70483,AED,IQD
2025-08-30,08/30/2025,0.46364,AUD,JOD
2025-08-30,08/30/2025,0.65389,AUD,USD
2025-08-30,08/30/2025,2.45369,AUD,SAR
2025-08-30,08/30/2025,0.5596,AUD,EUR
2025-08-30,08/30/2025,96.15748,AUD,JPY
2025-08-30,08/30/2025,2.40142,AUD,AED
2025-08-30,08/30/2025,0.48419,AUD,GBP
2025-08-30,08/30/2025,57.652,AUD,INR
2025-08-30,08/30/2025,31.65761,AUD,EGP
2025-08-30,08/30/2025,0.899,AUD,CAD
2025-08-30,08/30/2025,27512.51189,AUD,IRR
2025-08-30,08/30/2025,11.5349,AUD,SZL
2025-08-30,08/30/2025,2.38056,AUD,QAR
2025-08-30,08/30/2025,0.52344,AUD,CHF
2025-08-30,08/30/2025,6.18687,AUD,SEK
2025-08-30,08/30/2025,0.25064,AUD,OMR
2025-08-30,08/30/2025,0.19975,AUD,KWD
2025-08-30,08/30/2025,11.54317,AUD,ZAR
2025-08-30,08/30/2025,4.66278,AUD,CNY
2025-08-30,08/30/2025,26.87734,AUD,TRY
2025-08-30,08/30/2025,4.17687,AUD,DKK
2025-08-30,08/30/2025,21.10134,AUD,thb
2025-08-30,08/30/2025,0.24575,AUD,BHD
