_service_date,exChangeRateDate,exChangeRateValue,sourceCurrency,targetCurrency,FromCurrency,ToCurrency
2025-08-21,08/21/2025,1.41048,JOD,USD,JOD,USD
2025-08-21,08/21/2025,5.29345,JOD,SAR,JOD,SAR
2025-08-21,08/21/2025,1.21017,JOD,EUR,JOD,EUR
2025-08-21,08/21/2025,207.81048,JOD,JPY,JOD,JPY
2025-08-21,08/21/2025,5.18,JOD,AED,JOD,AED
2025-08-21,08/21/2025,1.0479,JOD,GBP,JOD,GBP
2025-08-21,08/21/2025,5.12129,JOD,QAR,JOD,QAR
2025-08-21,08/21/2025,1.13328,JOD,CHF,JOD,CHF
2025-08-21,08/21/2025,1845.05923,JOD,IQD,JOD,IQD
2025-08-21,08/21/2025,0.70898,USD,JOD,USD,JOD
2025-08-21,08/21/2025,3.75293,USD,SAR,USD,SAR
2025-08-21,08/21/2025,0.85798,USD,EUR,USD,EUR
2025-08-21,08/21/2025,3.6725,USD,AED,USD,AED
2025-08-21,08/21/2025,0.74294,USD,GBP,USD,GBP
2025-08-21,08/21/2025,87.01825,USD,INR,USD,INR
2025-08-21,08/21/2025,48.5812,USD,EGP,USD,EGP
2025-08-21,08/21/2025,3.63088,USD,QAR,USD,QAR
2025-08-21,08/21/2025,17.66299,USD,ZAR,USD,ZAR
2025-08-21,08/21/2025,40.92801,USD,TRY,USD,TRY
2025-08-21,08/21/2025,1308.10588,USD,IQD,USD,IQD
2025-08-21,08/21/2025,0.18891,SAR,JOD,SAR,JOD
2025-08-21,08/21/2025,0.26646,SAR,USD,SAR,USD
2025-08-21,08/21/2025,0.22862,SAR,EUR,SAR,EUR
2025-08-21,08/21/2025,39.25808,SAR,JPY,SAR,JPY
2025-08-21,08/21/2025,0.97857,SAR,AED,SAR,AED
2025-08-21,08/21/2025,0.4141,SAR,AUD,SAR,AUD
2025-08-21,08/21/2025,0.19796,SAR,GBP,SAR,GBP
2025-08-21,08/21/2025,23.18672,SAR,INR,SAR,INR
2025-08-21,08/21/2025,12.94486,SAR,EGP,SAR,EGP
2025-08-21,08/21/2025,0.3697,SAR,CAD,SAR,CAD
2025-08-21,08/21/2025,0.96748,SAR,QAR,SAR,QAR
2025-08-21,08/21/2025,0.21409,SAR,CHF,SAR,CHF
2025-08-21,08/21/2025,2.55442,SAR,SEK,SAR,SEK
2025-08-21,08/21/2025,0.10244,SAR,OMR,SAR,OMR
2025-08-21,08/21/2025,0.08143,SAR,KWD,SAR,KWD
2025-08-21,08/21/2025,4.70645,SAR,ZAR,SAR,ZAR
2025-08-21,08/21/2025,1.91216,SAR,CNY,SAR,CNY
2025-08-21,08/21/2025,10.9056,SAR,TRY,SAR,TRY
2025-08-21,08/21/2025,1.70658,SAR,DKK,SAR,DKK
2025-08-21,08/21/2025,8.67328,SAR,thb,SAR,THB
2025-08-21,08/21/2025,0.45759,SAR,NZD,SAR,NZD
2025-08-21,08/21/2025,348.55548,SAR,IQD,SAR,IQD
2025-08-21,08/21/2025,0.82633,EUR,JOD,EUR,JOD
2025-08-21,08/21/2025,1.16552,EUR,USD,EUR,USD
2025-08-21,08/21/2025,4.37413,EUR,SAR,EUR,SAR
2025-08-21,08/21/2025,4.28038,EUR,AED,EUR,AED
2025-08-21,08/21/2025,0.86591,EUR,GBP,EUR,GBP
2025-08-21,08/21/2025,101.42172,EUR,INR,EUR,INR
2025-08-21,08/21/2025,56.62248,EUR,EGP,EUR,EGP
2025-08-21,08/21/2025,4.23188,EUR,QAR,EUR,QAR
2025-08-21,08/21/2025,0.93646,EUR,CHF,EUR,CHF
2025-08-21,08/21/2025,20.58661,EUR,ZAR,EUR,ZAR
2025-08-21,08/21/2025,47.70251,EUR,TRY,EUR,TRY
2025-08-21,08/21/2025,1524.62676,EUR,IQD,EUR,IQD
2025-08-21,08/21/2025,0.00679,JPY,USD,JPY,USD
2025-08-21,08/21/2025,0.02547,JPY,SAR,JPY,SAR
2025-08-21,08/21/2025,0.00582,JPY,EUR,JPY,EUR
2025-08-21,08/21/2025,0.02493,JPY,AED,JPY,AED
2025-08-21,08/21/2025,0.00504,JPY,GBP,JPY,GBP
2025-08-21,08/21/2025,0.32974,JPY,EGP,JPY,EGP
2025-08-21,08/21/2025,0.02464,JPY,QAR,JPY,QAR
2025-08-21,08/21/2025,0.19305,AED,JOD,AED,JOD
2025-08-21,08/21/2025,0.27229,AED,USD,AED,USD
2025-08-21,08/21/2025,1.0219,AED,SAR,AED,SAR
