_service_date,exChangeRateDate,exChangeRateValue,sourceCurrency,targetCurrency,FromCurrency,ToCurrency
2025-08-07,08/07/2025,1.41047,JOD,USD,JOD,USD
2025-08-07,08/07/2025,5.29276,JOD,SAR,JOD,SAR
2025-08-07,08/07/2025,1.20935,JOD,EUR,JOD,EUR
2025-08-07,08/07/2025,207.85454,JOD,JPY,JOD,JPY
2025-08-07,08/07/2025,5.17993,JOD,AED,JOD,AED
2025-08-07,08/07/2025,1.05584,JOD,GBP,JOD,GBP
2025-08-07,08/07/2025,5.1348,JOD,QAR,JOD,QAR
2025-08-07,08/07/2025,1.13693,JOD,CHF,JOD,CHF
2025-08-07,08/07/2025,1847.70867,JOD,IQD,JOD,IQD
2025-08-07,08/07/2025,0.70899,USD,JOD,USD,JOD
2025-08-07,08/07/2025,3.75249,USD,SAR,USD,SAR
2025-08-07,08/07/2025,0.85741,USD,EUR,USD,EUR
2025-08-07,08/07/2025,3.6725,USD,AED,USD,AED
2025-08-07,08/07/2025,0.74858,USD,GBP,USD,GBP
2025-08-07,08/07/2025,87.72555,USD,INR,USD,INR
2025-08-07,08/07/2025,48.4491,USD,EGP,USD,EGP
2025-08-07,08/07/2025,3.6405,USD,QAR,USD,QAR
2025-08-07,08/07/2025,17.77475,USD,ZAR,USD,ZAR
2025-08-07,08/07/2025,40.67054,USD,TRY,USD,TRY
2025-08-07,08/07/2025,1310.0,USD,IQD,USD,IQD
2025-08-07,08/07/2025,0.18894,SAR,JOD,SAR,JOD
2025-08-07,08/07/2025,0.26649,SAR,USD,SAR,USD
2025-08-07,08/07/2025,0.22849,SAR,EUR,SAR,EUR
2025-08-07,08/07/2025,39.2715,SAR,JPY,SAR,JPY
2025-08-07,08/07/2025,0.97868,SAR,AED,SAR,AED
2025-08-07,08/07/2025,0.40987,SAR,AUD,SAR,AUD
2025-08-07,08/07/2025,0.19949,SAR,GBP,SAR,GBP
2025-08-07,08/07/2025,23.37794,SAR,INR,SAR,INR
2025-08-07,08/07/2025,12.91118,SAR,EGP,SAR,EGP
2025-08-07,08/07/2025,0.36613,SAR,CAD,SAR,CAD
2025-08-07,08/07/2025,0.97016,SAR,QAR,SAR,QAR
2025-08-07,08/07/2025,0.21481,SAR,CHF,SAR,CHF
2025-08-07,08/07/2025,2.55893,SAR,SEK,SAR,SEK
2025-08-07,08/07/2025,0.10247,SAR,OMR,SAR,OMR
2025-08-07,08/07/2025,0.08141,SAR,KWD,SAR,KWD
2025-08-07,08/07/2025,4.73679,SAR,ZAR,SAR,ZAR
2025-08-07,08/07/2025,1.91423,SAR,CNY,SAR,CNY
2025-08-07,08/07/2025,10.83827,SAR,TRY,SAR,TRY
2025-08-07,08/07/2025,1.7054,SAR,DKK,SAR,DKK
2025-08-07,08/07/2025,8.62354,SAR,thb,SAR,THB
2025-08-07,08/07/2025,0.44934,SAR,NZD,SAR,NZD
2025-08-07,08/07/2025,349.10133,SAR,IQD,SAR,IQD
2025-08-07,08/07/2025,0.82689,EUR,JOD,EUR,JOD
2025-08-07,08/07/2025,1.1663,EUR,USD,EUR,USD
2025-08-07,08/07/2025,4.37654,EUR,SAR,EUR,SAR
2025-08-07,08/07/2025,4.28325,EUR,AED,EUR,AED
2025-08-07,08/07/2025,0.87307,EUR,GBP,EUR,GBP
2025-08-07,08/07/2025,102.31458,EUR,INR,EUR,INR
2025-08-07,08/07/2025,56.50633,EUR,EGP,EUR,EGP
2025-08-07,08/07/2025,4.24593,EUR,QAR,EUR,QAR
2025-08-07,08/07/2025,0.94012,EUR,CHF,EUR,CHF
2025-08-07,08/07/2025,20.73075,EUR,ZAR,EUR,ZAR
2025-08-07,08/07/2025,47.43417,EUR,TRY,EUR,TRY
2025-08-07,08/07/2025,1527.85706,EUR,IQD,EUR,IQD
2025-08-07,08/07/2025,0.00679,JPY,USD,JPY,USD
2025-08-07,08/07/2025,0.02546,JPY,SAR,JPY,SAR
2025-08-07,08/07/2025,0.00582,JPY,EUR,JPY,EUR
2025-08-07,08/07/2025,0.02492,JPY,AED,JPY,AED
2025-08-07,08/07/2025,0.00508,JPY,GBP,JPY,GBP
2025-08-07,08/07/2025,0.32877,JPY,EGP,JPY,EGP
2025-08-07,08/07/2025,0.0247,JPY,QAR,JPY,QAR
2025-08-07,08/07/2025,0.19305,AED,JOD,AED,JOD
2025-08-07,08/07/2025,0.27229,AED,USD,AED,USD
2025-08-07,08/07/2025,1.02178,AED,SAR,AED,SAR
2025-08-07,08/07/2025,0.23347,AED,EUR,AED,EUR
2025-08-07,08/07/2025,40.12691,AED,JPY,AED,JPY
2025-08-07,08/07/2025,0.41879,AED,AUD,AED,AUD
2025-08-07,08/07/2025,0.20383,AED,GBP,AED,GBP
2025-08-07,08/07/2025,23.88716,AED,INR,AED,INR
2025-08-07,08/07/2025,13.19241,AED,EGP,AED,EGP
2025-08-07,08/07/2025,0.37411,AED,CAD,AED,CAD
2025-08-07,08/07/2025,0.99129,AED,QAR,AED,QAR
2025-08-07,08/07/2025,0.21949,AED,CHF,AED,CHF
2025-08-07,08/07/2025,2.61467,AED,SEK,AED,SEK
2025-08-07,08/07/2025,0.1047,AED,OMR,AED,OMR
2025-08-07,08/07/2025,0.08318,AED,KWD,AED,KWD
2025-08-07,08/07/2025,4.83996,AED,ZAR,AED,ZAR
2025-08-07,08/07/2025,1.95593,AED,CNY,AED,CNY
2025-08-07,08/07/2025,11.07435,AED,TRY,AED,TRY
2025-08-07,08/07/2025,1.74255,AED,DKK,AED,DKK
2025-08-07,08/07/2025,8.81138,AED,thb,AED,THB
2025-08-07,08/07/2025,0.45913,AED,NZD,AED,NZD
2025-08-07,08/07/2025,356.70542,AED,IQD,AED,IQD
2025-08-07,08/07/2025,0.65019,AUD,USD,AUD,USD
2025-08-07,08/07/2025,2.43982,AUD,SAR,AUD,SAR
2025-08-07,08/07/2025,0.55748,AUD,EUR,AUD,EUR
2025-08-07,08/07/2025,2.38781,AUD,AED,AUD,AED
2025-08-07,08/07/2025,0.48671,AUD,GBP,AUD,GBP
