_service_date,exChangeRateDate,exChangeRateValue,sourceCurrency,targetCurrency
2025-08-31,08/31/2025,1.41036,JOD,USD
2025-08-31,08/31/2025,5.29228,JOD,SAR
2025-08-31,08/31/2025,1.20699,JOD,EUR
2025-08-31,08/31/2025,207.37213,JOD,JPY
2025-08-31,08/31/2025,5.17955,JOD,AED
2025-08-31,08/31/2025,2.15651,JOD,AUD
2025-08-31,08/31/2025,1.06174,JOD,GBP
2025-08-31,08/31/2025,124.34772,JOD,INR
2025-08-31,08/31/2025,68.38541,JOD,EGP
2025-08-31,08/31/2025,1.93861,JOD,CAD
2025-08-31,08/31/2025,59340.83687,JOD,IRR
2025-08-31,08/31/2025,24.9997,JOD,SZL
2025-08-31,08/31/2025,5.13208,JOD,QAR
2025-08-31,08/31/2025,1.14784,JOD,CHF
2025-08-31,08/31/2025,13.34425,JOD,SEK
2025-08-31,08/31/2025,0.54229,JOD,OMR
2025-08-31,08/31/2025,0.43099,JOD,KWD
2025-08-31,08/31/2025,24.89717,JOD,ZAR
2025-08-31,08/31/2025,10.05699,JOD,CNY
2025-08-31,08/31/2025,57.97086,JOD,TRY
2025-08-31,08/31/2025,9.00895,JOD,DKK
2025-08-31,08/31/2025,45.56169,JOD,thb
2025-08-31,08/31/2025,0.53084,JOD,BHD
2025-08-31,08/31/2025,2.37694,JOD,NZD
2025-08-31,08/31/2025,126092.51115,JOD,LBP
2025-08-31,08/31/2025,1844.59816,JOD,IQD
2025-08-31,08/31/2025,0.70904,USD,JOD
2025-08-31,08/31/2025,3.75244,USD,SAR
2025-08-31,08/31/2025,0.8558,USD,EUR
2025-08-31,08/31/2025,147.03504,USD,JPY
2025-08-31,08/31/2025,3.6725,USD,AED
2025-08-31,08/31/2025,1.52905,USD,AUD
2025-08-31,08/31/2025,0.75281,USD,GBP
2025-08-31,08/31/2025,88.16745,USD,INR
2025-08-31,08/31/2025,48.48796,USD,EGP
2025-08-31,08/31/2025,1.37455,USD,CAD
2025-08-31,08/31/2025,42075.00035,USD,IRR
2025-08-31,08/31/2025,17.72578,USD,SZL
2025-08-31,08/31/2025,3.63885,USD,QAR
2025-08-31,08/31/2025,0.81387,USD,CHF
2025-08-31,08/31/2025,9.4616,USD,SEK
2025-08-31,08/31/2025,0.3845,USD,OMR
2025-08-31,08/31/2025,0.30559,USD,KWD
2025-08-31,08/31/2025,17.65308,USD,ZAR
2025-08-31,08/31/2025,7.1308,USD,CNY
2025-08-31,08/31/2025,41.10364,USD,TRY
2025-08-31,08/31/2025,6.3877,USD,DKK
2025-08-31,08/31/2025,32.30504,USD,thb
2025-08-31,08/31/2025,0.37639,USD,BHD
2025-08-31,08/31/2025,1.68535,USD,NZD
2025-08-31,08/31/2025,89404.57754,USD,LBP
2025-08-31,08/31/2025,1307.89305,USD,IQD
2025-08-31,08/31/2025,0.18895,SAR,JOD
2025-08-31,08/31/2025,0.26649,SAR,USD
2025-08-31,08/31/2025,0.22807,SAR,EUR
2025-08-31,08/31/2025,39.18387,SAR,JPY
2025-08-31,08/31/2025,0.9787,SAR,AED
2025-08-31,08/31/2025,0.40748,SAR,AUD
2025-08-31,08/31/2025,0.20062,SAR,GBP
2025-08-31,08/31/2025,23.49605,SAR,INR
2025-08-31,08/31/2025,12.92172,SAR,EGP
2025-08-31,08/31/2025,0.36631,SAR,CAD
2025-08-31,08/31/2025,11212.71139,SAR,IRR
2025-08-31,08/31/2025,4.7238,SAR,SZL
2025-08-31,08/31/2025,0.96973,SAR,QAR
2025-08-31,08/31/2025,0.21689,SAR,CHF
2025-08-31,08/31/2025,2.52146,SAR,SEK
