_service_date,exChangeRateDate,exChangeRateValue,sourceCurrency,targetCurrency
2025-07-22,07/22/2025,1.41041,JOD,USD
2025-07-22,07/22/2025,5.29102,JOD,SAR
2025-07-22,07/22/2025,1.20623,JOD,EUR
2025-07-22,07/22/2025,207.72844,JOD,JPY
2025-07-22,07/22/2025,5.18047,JOD,AED
2025-07-22,07/22/2025,2.16254,JOD,AUD
2025-07-22,07/22/2025,1.04535,JOD,GBP
2025-07-22,07/22/2025,121.68431,JOD,INR
2025-07-22,07/22/2025,69.4399,JOD,EGP
2025-07-22,07/22/2025,1.92966,JOD,CAD
2025-07-22,07/22/2025,59395.81429,JOD,IRR
2025-07-22,07/22/2025,24.85155,JOD,SZL
2025-07-22,07/22/2025,5.13473,JOD,QAR
2025-07-22,07/22/2025,1.12544,JOD,CHF
2025-07-22,07/22/2025,13.51536,JOD,SEK
2025-07-22,07/22/2025,0.5422,JOD,OMR
2025-07-22,07/22/2025,0.43058,JOD,KWD
2025-07-22,07/22/2025,24.85118,JOD,ZAR
2025-07-22,07/22/2025,10.12107,JOD,CNY
2025-07-22,07/22/2025,56.99342,JOD,TRY
2025-07-22,07/22/2025,9.00443,JOD,DKK
2025-07-22,07/22/2025,45.44363,JOD,thb
2025-07-22,07/22/2025,0.53176,JOD,BHD
2025-07-22,07/22/2025,2.364,JOD,NZD
2025-07-22,07/22/2025,126302.05252,JOD,LBP
2025-07-22,07/22/2025,1847.63471,JOD,IQD
2025-07-22,07/22/2025,0.70902,USD,JOD
2025-07-22,07/22/2025,3.75141,USD,SAR
2025-07-22,07/22/2025,0.85524,USD,EUR
2025-07-22,07/22/2025,147.2825,USD,JPY
2025-07-22,07/22/2025,3.67303,USD,AED
2025-07-22,07/22/2025,1.53327,USD,AUD
2025-07-22,07/22/2025,0.74117,USD,GBP
2025-07-22,07/22/2025,86.27595,USD,INR
2025-07-22,07/22/2025,49.2339,USD,EGP
2025-07-22,07/22/2025,1.36816,USD,CAD
2025-07-22,07/22/2025,42112.50003,USD,IRR
2025-07-22,07/22/2025,17.62011,USD,SZL
2025-07-22,07/22/2025,3.6406,USD,QAR
2025-07-22,07/22/2025,0.79796,USD,CHF
2025-07-22,07/22/2025,9.58259,USD,SEK
2025-07-22,07/22/2025,0.38443,USD,OMR
2025-07-22,07/22/2025,0.30529,USD,KWD
2025-07-22,07/22/2025,17.61985,USD,ZAR
2025-07-22,07/22/2025,7.17598,USD,CNY
2025-07-22,07/22/2025,40.40917,USD,TRY
2025-07-22,07/22/2025,6.38427,USD,DKK
2025-07-22,07/22/2025,32.22019,USD,thb
2025-07-22,07/22/2025,0.37702,USD,BHD
2025-07-22,07/22/2025,1.67611,USD,NZD
2025-07-22,07/22/2025,89550.00034,USD,LBP
2025-07-22,07/22/2025,1310.0,USD,IQD
2025-07-22,07/22/2025,0.189,SAR,JOD
2025-07-22,07/22/2025,0.26657,SAR,USD
2025-07-22,07/22/2025,0.22798,SAR,EUR
2025-07-22,07/22/2025,39.26054,SAR,JPY
2025-07-22,07/22/2025,0.97911,SAR,AED
2025-07-22,07/22/2025,0.40872,SAR,AUD
2025-07-22,07/22/2025,0.19757,SAR,GBP
2025-07-22,07/22/2025,22.99826,SAR,INR
2025-07-22,07/22/2025,13.1241,SAR,EGP
2025-07-22,07/22/2025,0.3647,SAR,CAD
2025-07-22,07/22/2025,11225.7706,SAR,IRR
2025-07-22,07/22/2025,4.69693,SAR,SZL
2025-07-22,07/22/2025,0.97046,SAR,QAR
2025-07-22,07/22/2025,0.21271,SAR,CHF
2025-07-22,07/22/2025,2.55439,SAR,SEK
2025-07-22,07/22/2025,0.10248,SAR,OMR
2025-07-22,07/22/2025,0.08138,SAR,KWD
2025-07-22,07/22/2025,4.69686,SAR,ZAR
2025-07-22,07/22/2025,1.91288,SAR,CNY
2025-07-22,07/22/2025,10.77172,SAR,TRY
2025-07-22,07/22/2025,1.70183,SAR,DKK
2025-07-22,07/22/2025,8.58882,SAR,thb
2025-07-22,07/22/2025,0.1005,SAR,BHD
2025-07-22,07/22/2025,0.44679,SAR,NZD
2025-07-22,07/22/2025,23871.00648,SAR,LBP
2025-07-22,07/22/2025,349.20177,SAR,IQD
2025-07-22,07/22/2025,0.82903,EUR,JOD
2025-07-22,07/22/2025,1.16927,EUR,USD
2025-07-22,07/22/2025,4.38641,EUR,SAR
2025-07-22,07/22/2025,172.2129,EUR,JPY
2025-07-22,07/22/2025,4.29476,EUR,AED
2025-07-22,07/22/2025,1.79281,EUR,AUD
2025-07-22,07/22/2025,0.86663,EUR,GBP
2025-07-22,07/22/2025,100.87982,EUR,INR
2025-07-22,07/22/2025,57.56769,EUR,EGP
2025-07-22,07/22/2025,1.59974,EUR,CAD
2025-07-22,07/22/2025,49240.85196,EUR,IRR
2025-07-22,07/22/2025,20.60266,EUR,SZL
2025-07-22,07/22/2025,4.25684,EUR,QAR
2025-07-22,07/22/2025,0.93302,EUR,CHF
2025-07-22,07/22/2025,11.20462,EUR,SEK
2025-07-22,07/22/2025,0.4495,EUR,OMR
2025-07-22,07/22/2025,0.35697,EUR,KWD
2025-07-22,07/22/2025,20.60235,EUR,ZAR
2025-07-22,07/22/2025,8.39066,EUR,CNY
2025-07-22,07/22/2025,47.2492,EUR,TRY
2025-07-22,07/22/2025,7.46493,EUR,DKK
2025-07-22,07/22/2025,37.67408,EUR,thb
2025-07-22,07/22/2025,0.44084,EUR,BHD
2025-07-22,07/22/2025,1.95982,EUR,NZD
2025-07-22,07/22/2025,104708.06309,EUR,LBP
2025-07-22,07/22/2025,1531.74274,EUR,IQD
2025-07-22,07/22/2025,0.00481,JPY,JOD
2025-07-22,07/22/2025,0.00679,JPY,USD
2025-07-22,07/22/2025,0.02547,JPY,SAR
2025-07-22,07/22/2025,0.00581,JPY,EUR
2025-07-22,07/22/2025,0.02494,JPY,AED
2025-07-22,07/22/2025,0.01041,JPY,AUD
2025-07-22,07/22/2025,0.00503,JPY,GBP
2025-07-22,07/22/2025,0.58579,JPY,INR
2025-07-22,07/22/2025,0.33428,JPY,EGP
2025-07-22,07/22/2025,0.00929,JPY,CAD
2025-07-22,07/22/2025,285.9301,JPY,IRR
2025-07-22,07/22/2025,0.11964,JPY,SZL
2025-07-22,07/22/2025,0.02472,JPY,QAR
2025-07-22,07/22/2025,0.00542,JPY,CHF
2025-07-22,07/22/2025,0.06506,JPY,SEK
2025-07-22,07/22/2025,0.00261,JPY,OMR
2025-07-22,07/22/2025,0.00207,JPY,KWD
2025-07-22,07/22/2025,0.11963,JPY,ZAR
2025-07-22,07/22/2025,0.04872,JPY,CNY
2025-07-22,07/22/2025,0.27437,JPY,TRY
2025-07-22,07/22/2025,0.04335,JPY,DKK
2025-07-22,07/22/2025,0.21877,JPY,thb
2025-07-22,07/22/2025,0.00256,JPY,BHD
2025-07-22,07/22/2025,0.01138,JPY,NZD
2025-07-22,07/22/2025,608.01521,JPY,LBP
2025-07-22,07/22/2025,8.89447,JPY,IQD
2025-07-22,07/22/2025,0.19303,AED,JOD
2025-07-22,07/22/2025,0.27226,AED,USD
2025-07-22,07/22/2025,1.02134,AED,SAR
2025-07-22,07/22/2025,0.23284,AED,EUR
2025-07-22,07/22/2025,40.09837,AED,JPY
2025-07-22,07/22/2025,0.41744,AED,AUD
2025-07-22,07/22/2025,0.20179,AED,GBP
2025-07-22,07/22/2025,23.48904,AED,INR
2025-07-22,07/22/2025,13.40417,AED,EGP
2025-07-22,07/22/2025,0.37249,AED,CAD
2025-07-22,07/22/2025,11465.33039,AED,IRR
2025-07-22,07/22/2025,4.79716,AED,SZL
2025-07-22,07/22/2025,0.99117,AED,QAR
2025-07-22,07/22/2025,0.21725,AED,CHF
2025-07-22,07/22/2025,2.60891,AED,SEK
2025-07-22,07/22/2025,0.10466,AED,OMR
2025-07-22,07/22/2025,0.08312,AED,KWD
2025-07-22,07/22/2025,4.79709,AED,ZAR
2025-07-22,07/22/2025,1.9537,AED,CNY
2025-07-22,07/22/2025,11.00159,AED,TRY
2025-07-22,07/22/2025,1.73815,AED,DKK
2025-07-22,07/22/2025,8.7721,AED,thb
2025-07-22,07/22/2025,0.10265,AED,BHD
2025-07-22,07/22/2025,0.45633,AED,NZD
2025-07-22,07/22/2025,24380.41769,AED,LBP
2025-07-22,07/22/2025,356.65379,AED,IQD
2025-07-22,07/22/2025,0.46242,AUD,JOD
2025-07-22,07/22/2025,0.6522,AUD,USD
2025-07-22,07/22/2025,2.44667,AUD,SAR
2025-07-22,07/22/2025,0.55778,AUD,EUR
2025-07-22,07/22/2025,96.05764,AUD,JPY
2025-07-22,07/22/2025,2.39555,AUD,AED
2025-07-22,07/22/2025,0.48339,AUD,GBP
2025-07-22,07/22/2025,56.26917,AUD,INR
2025-07-22,07/22/2025,32.11035,AUD,EGP
2025-07-22,07/22/2025,0.89231,AUD,CAD
2025-07-22,07/22/2025,27465.76994,AUD,IRR
2025-07-22,07/22/2025,11.49184,AUD,SZL
2025-07-22,07/22/2025,2.3744,AUD,QAR
2025-07-22,07/22/2025,0.52043,AUD,CHF
2025-07-22,07/22/2025,6.24976,AUD,SEK
2025-07-22,07/22/2025,0.25072,AUD,OMR
2025-07-22,07/22/2025,0.19911,AUD,KWD
2025-07-22,07/22/2025,11.49167,AUD,ZAR
2025-07-22,07/22/2025,4.68018,AUD,CNY
2025-07-22,07/22/2025,26.35486,AUD,TRY
2025-07-22,07/22/2025,4.16382,AUD,DKK
2025-07-22,07/22/2025,21.01401,AUD,thb
2025-07-22,07/22/2025,0.2459,AUD,BHD
2025-07-22,07/22/2025,1.09316,AUD,NZD
2025-07-22,07/22/2025,58404.50473,AUD,LBP
2025-07-22,07/22/2025,854.38192,AUD,IQD
2025-07-22,07/22/2025,0.95662,GBP,JOD
2025-07-22,07/22/2025,1.34922,GBP,USD
2025-07-22,07/22/2025,5.06148,GBP,SAR
2025-07-22,07/22/2025,1.1539,GBP,EUR
2025-07-22,07/22/2025,198.71632,GBP,JPY
2025-07-22,07/22/2025,4.95572,GBP,AED
2025-07-22,07/22/2025,2.06872,GBP,AUD
2025-07-22,07/22/2025,116.40513,GBP,INR
2025-07-22,07/22/2025,66.4273,GBP,EGP
2025-07-22,07/22/2025,1.84594,GBP,CAD
2025-07-22,07/22/2025,56818.97599,GBP,IRR
2025-07-22,07/22/2025,23.77339,GBP,SZL
2025-07-22,07/22/2025,4.91197,GBP,QAR
2025-07-22,07/22/2025,1.07662,GBP,CHF
2025-07-22,07/22/2025,12.929,GBP,SEK
2025-07-22,07/22/2025,0.51868,GBP,OMR
2025-07-22,07/22/2025,0.4119,GBP,KWD
2025-07-22,07/22/2025,23.77303,GBP,ZAR
2025-07-22,07/22/2025,9.68197,GBP,CNY
2025-07-22,07/22/2025,54.52081,GBP,TRY
2025-07-22,07/22/2025,8.61378,GBP,DKK
2025-07-22,07/22/2025,43.47209,GBP,thb
2025-07-22,07/22/2025,0.50869,GBP,BHD
2025-07-22,07/22/2025,2.26144,GBP,NZD
2025-07-22,07/22/2025,120822.54239,GBP,LBP
2025-07-22,07/22/2025,1767.4766,GBP,IQD
2025-07-22,07/22/2025,0.00822,INR,JOD
2025-07-22,07/22/2025,0.01159,INR,USD
2025-07-22,07/22/2025,0.04348,INR,SAR
2025-07-22,07/22/2025,0.00991,INR,EUR
2025-07-22,07/22/2025,1.70711,INR,JPY
2025-07-22,07/22/2025,0.04257,INR,AED
2025-07-22,07/22/2025,0.01777,INR,AUD
2025-07-22,07/22/2025,0.00859,INR,GBP
2025-07-22,07/22/2025,0.57066,INR,EGP
2025-07-22,07/22/2025,0.01586,INR,CAD
2025-07-22,07/22/2025,488.11401,INR,IRR
2025-07-22,07/22/2025,0.20423,INR,SZL
2025-07-22,07/22/2025,0.0422,INR,QAR
2025-07-22,07/22/2025,0.00925,INR,CHF
2025-07-22,07/22/2025,0.11107,INR,SEK
2025-07-22,07/22/2025,0.00446,INR,OMR
2025-07-22,07/22/2025,0.00354,INR,KWD
2025-07-22,07/22/2025,0.20423,INR,ZAR
2025-07-22,07/22/2025,0.08318,INR,CNY
2025-07-22,07/22/2025,0.46837,INR,TRY
2025-07-22,07/22/2025,0.074,INR,DKK
2025-07-22,07/22/2025,0.37346,INR,thb
2025-07-22,07/22/2025,0.00437,INR,BHD
2025-07-22,07/22/2025,0.01943,INR,NZD
2025-07-22,07/22/2025,1037.94859,INR,LBP
2025-07-22,07/22/2025,15.18384,INR,IQD
2025-07-22,07/22/2025,0.0144,EGP,JOD
2025-07-22,07/22/2025,0.02031,EGP,USD
2025-07-22,07/22/2025,0.0762,EGP,SAR
2025-07-22,07/22/2025,0.01737,EGP,EUR
2025-07-22,07/22/2025,2.99149,EGP,JPY
2025-07-22,07/22/2025,0.0746,EGP,AED
2025-07-22,07/22/2025,0.03114,EGP,AUD
2025-07-22,07/22/2025,0.01505,EGP,GBP
2025-07-22,07/22/2025,1.75237,EGP,INR
2025-07-22,07/22/2025,0.02779,EGP,CAD
2025-07-22,07/22/2025,855.35575,EGP,IRR
2025-07-22,07/22/2025,0.35789,EGP,SZL
2025-07-22,07/22/2025,0.07395,EGP,QAR
2025-07-22,07/22/2025,0.01621,EGP,CHF
2025-07-22,07/22/2025,0.19463,EGP,SEK
2025-07-22,07/22/2025,0.00781,EGP,OMR
2025-07-22,07/22/2025,0.0062,EGP,KWD
2025-07-22,07/22/2025,0.35788,EGP,ZAR
2025-07-22,07/22/2025,0.14575,EGP,CNY
2025-07-22,07/22/2025,0.82076,EGP,TRY
2025-07-22,07/22/2025,0.12967,EGP,DKK
2025-07-22,07/22/2025,0.65443,EGP,thb
2025-07-22,07/22/2025,0.00766,EGP,BHD
2025-07-22,07/22/2025,0.03404,EGP,NZD
2025-07-22,07/22/2025,1818.86868,EGP,LBP
2025-07-22,07/22/2025,26.60768,EGP,IQD
2025-07-22,07/22/2025,0.51823,CAD,JOD
2025-07-22,07/22/2025,0.73091,CAD,USD
2025-07-22,07/22/2025,2.74195,CAD,SAR
2025-07-22,07/22/2025,0.6251,CAD,EUR
2025-07-22,07/22/2025,107.65045,CAD,JPY
2025-07-22,07/22/2025,2.68466,CAD,AED
2025-07-22,07/22/2025,1.12069,CAD,AUD
2025-07-22,07/22/2025,0.54173,CAD,GBP
2025-07-22,07/22/2025,63.06007,CAD,INR
2025-07-22,07/22/2025,35.98562,CAD,EGP
2025-07-22,07/22/2025,30780.50369,CAD,IRR
2025-07-22,07/22/2025,12.87874,CAD,SZL
2025-07-22,07/22/2025,2.66096,CAD,QAR
2025-07-22,07/22/2025,0.58323,CAD,CHF
2025-07-22,07/22/2025,7.00402,CAD,SEK
2025-07-22,07/22/2025,0.28098,CAD,OMR
2025-07-22,07/22/2025,0.22314,CAD,KWD
2025-07-22,07/22/2025,12.87855,CAD,ZAR
2025-07-22,07/22/2025,5.24501,CAD,CNY
2025-07-22,07/22/2025,29.53552,CAD,TRY
2025-07-22,07/22/2025,4.66634,CAD,DKK
2025-07-22,07/22/2025,23.55011,CAD,thb
2025-07-22,07/22/2025,0.27557,CAD,BHD
2025-07-22,07/22/2025,1.22509,CAD,NZD
2025-07-22,07/22/2025,65453.11046,CAD,LBP
2025-07-22,07/22/2025,957.49385,CAD,IQD
2025-07-22,07/22/2025,2e-05,IRR,JOD
2025-07-22,07/22/2025,2e-05,IRR,USD
2025-07-22,07/22/2025,9e-05,IRR,SAR
2025-07-22,07/22/2025,2e-05,IRR,EUR
2025-07-22,07/22/2025,0.0035,IRR,JPY
2025-07-22,07/22/2025,9e-05,IRR,AED
2025-07-22,07/22/2025,4e-05,IRR,AUD
2025-07-22,07/22/2025,2e-05,IRR,GBP
2025-07-22,07/22/2025,0.00205,IRR,INR
2025-07-22,07/22/2025,0.00117,IRR,EGP
2025-07-22,07/22/2025,3e-05,IRR,CAD
2025-07-22,07/22/2025,0.00042,IRR,SZL
2025-07-22,07/22/2025,9e-05,IRR,QAR
2025-07-22,07/22/2025,2e-05,IRR,CHF
2025-07-22,07/22/2025,0.00023,IRR,SEK
2025-07-22,07/22/2025,1e-05,IRR,OMR
2025-07-22,07/22/2025,1e-05,IRR,KWD
2025-07-22,07/22/2025,0.00042,IRR,ZAR
2025-07-22,07/22/2025,0.00017,IRR,CNY
2025-07-22,07/22/2025,0.00096,IRR,TRY
2025-07-22,07/22/2025,0.00015,IRR,DKK
2025-07-22,07/22/2025,0.00077,IRR,thb
2025-07-22,07/22/2025,1e-05,IRR,BHD
2025-07-22,07/22/2025,4e-05,IRR,NZD
2025-07-22,07/22/2025,2.12645,IRR,LBP
2025-07-22,07/22/2025,0.03111,IRR,IQD
2025-07-22,07/22/2025,0.04024,SZL,JOD
2025-07-22,07/22/2025,0.05675,SZL,USD
2025-07-22,07/22/2025,0.21291,SZL,SAR
2025-07-22,07/22/2025,0.04854,SZL,EUR
2025-07-22,07/22/2025,8.35877,SZL,JPY
2025-07-22,07/22/2025,0.20846,SZL,AED
2025-07-22,07/22/2025,0.08702,SZL,AUD
2025-07-22,07/22/2025,0.04206,SZL,GBP
2025-07-22,07/22/2025,4.89645,SZL,INR
2025-07-22,07/22/2025,2.79419,SZL,EGP
2025-07-22,07/22/2025,0.07765,SZL,CAD
2025-07-22,07/22/2025,2390.0246,SZL,IRR
2025-07-22,07/22/2025,0.20662,SZL,QAR
2025-07-22,07/22/2025,0.04529,SZL,CHF
2025-07-22,07/22/2025,0.54384,SZL,SEK
2025-07-22,07/22/2025,0.02182,SZL,OMR
