_service_date,exChangeRateDate,exChangeRateValue,sourceCurrency,targetCurrency,FromCurrency,ToCurrency
2025-08-15,08/15/2025,1.41051,JOD,USD,JOD,USD
2025-08-15,08/15/2025,5.29272,JOD,SAR,JOD,SAR
2025-08-15,08/15/2025,1.21082,JOD,EUR,JOD,EUR
2025-08-15,08/15/2025,208.43082,JOD,JPY,JOD,JPY
2025-08-15,08/15/2025,5.1807,JOD,AED,JOD,AED
2025-08-15,08/15/2025,1.04229,JOD,GBP,JOD,GBP
2025-08-15,08/15/2025,5.13495,JOD,QAR,JOD,QAR
2025-08-15,08/15/2025,1.1395,JOD,CHF,JOD,CHF
2025-08-15,08/15/2025,1847.7646,JOD,IQD,JOD,IQD
2025-08-15,08/15/2025,0.70897,USD,JOD,USD,JOD
2025-08-15,08/15/2025,3.75235,USD,SAR,USD,SAR
2025-08-15,08/15/2025,0.85843,USD,EUR,USD,EUR
2025-08-15,08/15/2025,3.67294,USD,AED,USD,AED
2025-08-15,08/15/2025,0.73895,USD,GBP,USD,GBP
2025-08-15,08/15/2025,87.69115,USD,INR,USD,INR
2025-08-15,08/15/2025,48.3301,USD,EGP,USD,EGP
2025-08-15,08/15/2025,3.6405,USD,QAR,USD,QAR
2025-08-15,08/15/2025,17.6083,USD,ZAR,USD,ZAR
2025-08-15,08/15/2025,40.85402,USD,TRY,USD,TRY
2025-08-15,08/15/2025,1310.0,USD,IQD,USD,IQD
2025-08-15,08/15/2025,0.18894,SAR,JOD,SAR,JOD
2025-08-15,08/15/2025,0.2665,SAR,USD,SAR,USD
2025-08-15,08/15/2025,0.22877,SAR,EUR,SAR,EUR
2025-08-15,08/15/2025,39.38068,SAR,JPY,SAR,JPY
2025-08-15,08/15/2025,0.97884,SAR,AED,SAR,AED
2025-08-15,08/15/2025,0.40994,SAR,AUD,SAR,AUD
2025-08-15,08/15/2025,0.19693,SAR,GBP,SAR,GBP
2025-08-15,08/15/2025,23.36966,SAR,INR,SAR,INR
2025-08-15,08/15/2025,12.87996,SAR,EGP,SAR,EGP
2025-08-15,08/15/2025,0.3682,SAR,CAD,SAR,CAD
2025-08-15,08/15/2025,0.97019,SAR,QAR,SAR,QAR
2025-08-15,08/15/2025,0.2153,SAR,CHF,SAR,CHF
2025-08-15,08/15/2025,2.5548,SAR,SEK,SAR,SEK
2025-08-15,08/15/2025,0.10246,SAR,OMR,SAR,OMR
2025-08-15,08/15/2025,0.08147,SAR,KWD,SAR,KWD
2025-08-15,08/15/2025,4.69261,SAR,ZAR,SAR,ZAR
2025-08-15,08/15/2025,1.91353,SAR,CNY,SAR,CNY
2025-08-15,08/15/2025,10.88758,SAR,TRY,SAR,TRY
2025-08-15,08/15/2025,1.70757,SAR,DKK,SAR,DKK
2025-08-15,08/15/2025,8.65049,SAR,thb,SAR,THB
2025-08-15,08/15/2025,0.45,SAR,NZD,SAR,NZD
2025-08-15,08/15/2025,349.11457,SAR,IQD,SAR,IQD
2025-08-15,08/15/2025,0.82589,EUR,JOD,EUR,JOD
2025-08-15,08/15/2025,1.16492,EUR,USD,EUR,USD
2025-08-15,08/15/2025,4.3712,EUR,SAR,EUR,SAR
2025-08-15,08/15/2025,4.27869,EUR,AED,EUR,AED
2025-08-15,08/15/2025,0.86082,EUR,GBP,EUR,GBP
2025-08-15,08/15/2025,102.15354,EUR,INR,EUR,INR
2025-08-15,08/15/2025,56.3009,EUR,EGP,EUR,EGP
2025-08-15,08/15/2025,4.2409,EUR,QAR,EUR,QAR
2025-08-15,08/15/2025,0.9411,EUR,CHF,EUR,CHF
2025-08-15,08/15/2025,20.51234,EUR,ZAR,EUR,ZAR
2025-08-15,08/15/2025,47.59183,EUR,TRY,EUR,TRY
2025-08-15,08/15/2025,1526.05062,EUR,IQD,EUR,IQD
2025-08-15,08/15/2025,0.00677,JPY,USD,JPY,USD
2025-08-15,08/15/2025,0.02539,JPY,SAR,JPY,SAR
2025-08-15,08/15/2025,0.00581,JPY,EUR,JPY,EUR
2025-08-15,08/15/2025,0.02486,JPY,AED,JPY,AED
2025-08-15,08/15/2025,0.005,JPY,GBP,JPY,GBP
2025-08-15,08/15/2025,0.32706,JPY,EGP,JPY,EGP
2025-08-15,08/15/2025,0.02464,JPY,QAR,JPY,QAR
2025-08-15,08/15/2025,0.19302,AED,JOD,AED,JOD
2025-08-15,08/15/2025,0.27226,AED,USD,AED,USD
2025-08-15,08/15/2025,1.02162,AED,SAR,AED,SAR
2025-08-15,08/15/2025,0.23372,AED,EUR,AED,EUR
2025-08-15,08/15/2025,40.23216,AED,JPY,AED,JPY
2025-08-15,08/15/2025,0.4188,AED,AUD,AED,AUD
2025-08-15,08/15/2025,0.20119,AED,GBP,AED,GBP
2025-08-15,08/15/2025,23.87495,AED,INR,AED,INR
2025-08-15,08/15/2025,13.15844,AED,EGP,AED,EGP
2025-08-15,08/15/2025,0.37616,AED,CAD,AED,CAD
2025-08-15,08/15/2025,0.99117,AED,QAR,AED,QAR
2025-08-15,08/15/2025,0.21995,AED,CHF,AED,CHF
2025-08-15,08/15/2025,2.61004,AED,SEK,AED,SEK
2025-08-15,08/15/2025,0.10468,AED,OMR,AED,OMR
2025-08-15,08/15/2025,0.08323,AED,KWD,AED,KWD
2025-08-15,08/15/2025,4.79407,AED,ZAR,AED,ZAR
2025-08-15,08/15/2025,1.95491,AED,CNY,AED,CNY
2025-08-15,08/15/2025,11.12299,AED,TRY,AED,TRY
2025-08-15,08/15/2025,1.74449,AED,DKK,AED,DKK
2025-08-15,08/15/2025,8.83752,AED,thb,AED,THB
