_service_date,exChangeRateDate,exChangeRateValue,sourceCurrency,targetCurrency
2025-08-15,08/15/2025,1.41051,JOD,USD
2025-08-15,08/15/2025,5.29272,JOD,SAR
2025-08-15,08/15/2025,1.21082,JOD,EUR
2025-08-15,08/15/2025,208.43082,JOD,JPY
2025-08-15,08/15/2025,5.1807,JOD,AED
2025-08-15,08/15/2025,2.16968,JOD,AUD
2025-08-15,08/15/2025,1.04229,JOD,GBP
2025-08-15,08/15/2025,123.68901,JOD,INR
2025-08-15,08/15/2025,68.16996,JOD,EGP
2025-08-15,08/15/2025,1.94878,JOD,CAD
2025-08-15,08/15/2025,59417.62177,JOD,IRR
2025-08-15,08/15/2025,24.83895,JOD,SZL
2025-08-15,08/15/2025,5.13495,JOD,QAR
2025-08-15,08/15/2025,1.1395,JOD,CHF
2025-08-15,08/15/2025,13.52184,JOD,SEK
2025-08-15,08/15/2025,0.54231,JOD,OMR
2025-08-15,08/15/2025,0.4312,JOD,KWD
2025-08-15,08/15/2025,24.83664,JOD,ZAR
2025-08-15,08/15/2025,10.1278,JOD,CNY
2025-08-15,08/15/2025,57.62489,JOD,TRY
2025-08-15,08/15/2025,9.03769,JOD,DKK
2025-08-15,08/15/2025,45.78458,JOD,thb
2025-08-15,08/15/2025,0.53176,JOD,BHD
2025-08-15,08/15/2025,2.38172,JOD,NZD
2025-08-15,08/15/2025,126310.93107,JOD,LBP
2025-08-15,08/15/2025,1847.7646,JOD,IQD
2025-08-15,08/15/2025,0.70897,USD,JOD
2025-08-15,08/15/2025,3.75235,USD,SAR
2025-08-15,08/15/2025,0.85843,USD,EUR
2025-08-15,08/15/2025,147.77011,USD,JPY
2025-08-15,08/15/2025,3.67294,USD,AED
2025-08-15,08/15/2025,1.53823,USD,AUD
2025-08-15,08/15/2025,0.73895,USD,GBP
2025-08-15,08/15/2025,87.69115,USD,INR
2025-08-15,08/15/2025,48.3301,USD,EGP
2025-08-15,08/15/2025,1.38162,USD,CAD
2025-08-15,08/15/2025,42125.00039,USD,IRR
2025-08-15,08/15/2025,17.60994,USD,SZL
2025-08-15,08/15/2025,3.6405,USD,QAR
2025-08-15,08/15/2025,0.80786,USD,CHF
2025-08-15,08/15/2025,9.58651,USD,SEK
2025-08-15,08/15/2025,0.38448,USD,OMR
2025-08-15,08/15/2025,0.3057,USD,KWD
2025-08-15,08/15/2025,17.6083,USD,ZAR
2025-08-15,08/15/2025,7.18025,USD,CNY
2025-08-15,08/15/2025,40.85402,USD,TRY
2025-08-15,08/15/2025,6.4074,USD,DKK
2025-08-15,08/15/2025,32.45965,USD,thb
2025-08-15,08/15/2025,0.377,USD,BHD
2025-08-15,08/15/2025,1.68856,USD,NZD
2025-08-15,08/15/2025,89549.99984,USD,LBP
2025-08-15,08/15/2025,1310.0,USD,IQD
2025-08-15,08/15/2025,0.18894,SAR,JOD
2025-08-15,08/15/2025,0.2665,SAR,USD
2025-08-15,08/15/2025,0.22877,SAR,EUR
2025-08-15,08/15/2025,39.38068,SAR,JPY
2025-08-15,08/15/2025,0.97884,SAR,AED
2025-08-15,08/15/2025,0.40994,SAR,AUD
2025-08-15,08/15/2025,0.19693,SAR,GBP
2025-08-15,08/15/2025,23.36966,SAR,INR
2025-08-15,08/15/2025,12.87996,SAR,EGP
2025-08-15,08/15/2025,0.3682,SAR,CAD
2025-08-15,08/15/2025,11226.29863,SAR,IRR
2025-08-15,08/15/2025,4.69304,SAR,SZL
2025-08-15,08/15/2025,0.97019,SAR,QAR
2025-08-15,08/15/2025,0.2153,SAR,CHF
2025-08-15,08/15/2025,2.5548,SAR,SEK
2025-08-15,08/15/2025,0.10246,SAR,OMR
2025-08-15,08/15/2025,0.08147,SAR,KWD
2025-08-15,08/15/2025,4.69261,SAR,ZAR
2025-08-15,08/15/2025,1.91353,SAR,CNY
2025-08-15,08/15/2025,10.88758,SAR,TRY
2025-08-15,08/15/2025,1.70757,SAR,DKK
2025-08-15,08/15/2025,8.65049,SAR,thb
2025-08-15,08/15/2025,0.10047,SAR,BHD
2025-08-15,08/15/2025,0.45,SAR,NZD
2025-08-15,08/15/2025,23865.04525,SAR,LBP
2025-08-15,08/15/2025,349.11457,SAR,IQD
2025-08-15,08/15/2025,0.82589,EUR,JOD
2025-08-15,08/15/2025,1.16492,EUR,USD
2025-08-15,08/15/2025,4.3712,EUR,SAR
2025-08-15,08/15/2025,172.14096,EUR,JPY
2025-08-15,08/15/2025,4.27869,EUR,AED
2025-08-15,08/15/2025,1.79192,EUR,AUD
2025-08-15,08/15/2025,0.86082,EUR,GBP
2025-08-15,08/15/2025,102.15354,EUR,INR
2025-08-15,08/15/2025,56.3009,EUR,EGP
2025-08-15,08/15/2025,1.60948,EUR,CAD
2025-08-15,08/15/2025,49072.42961,EUR,IRR
2025-08-15,08/15/2025,20.51424,EUR,SZL
2025-08-15,08/15/2025,4.2409,EUR,QAR
2025-08-15,08/15/2025,0.9411,EUR,CHF
2025-08-15,08/15/2025,11.16755,EUR,SEK
2025-08-15,08/15/2025,0.44789,EUR,OMR
2025-08-15,08/15/2025,0.35612,EUR,KWD
2025-08-15,08/15/2025,20.51234,EUR,ZAR
2025-08-15,08/15/2025,8.36445,EUR,CNY
2025-08-15,08/15/2025,47.59183,EUR,TRY
2025-08-15,08/15/2025,7.46414,EUR,DKK
2025-08-15,08/15/2025,37.81303,EUR,thb
2025-08-15,08/15/2025,0.43917,EUR,BHD
2025-08-15,08/15/2025,1.96704,EUR,NZD
2025-08-15,08/15/2025,104318.95604,EUR,LBP
2025-08-15,08/15/2025,1526.05062,EUR,IQD
2025-08-15,08/15/2025,0.0048,JPY,JOD
2025-08-15,08/15/2025,0.00677,JPY,USD
2025-08-15,08/15/2025,0.02539,JPY,SAR
2025-08-15,08/15/2025,0.00581,JPY,EUR
