_service_date,exChangeRateDate,exChangeRateValue,sourceCurrency,targetCurrency,FromCurrency,ToCurrency
2025-08-24,08/24/2025,1.41036,JOD,USD,JOD,USD
2025-08-24,08/24/2025,5.29209,JOD,SAR,JOD,SAR
2025-08-24,08/24/2025,1.20318,JOD,EUR,JOD,EUR
2025-08-24,08/24/2025,207.26494,JOD,JPY,JOD,JPY
2025-08-24,08/24/2025,5.17955,JOD,AED,JOD,AED
2025-08-24,08/24/2025,1.05113,JOD,GBP,JOD,GBP
2025-08-24,08/24/2025,5.08436,JOD,QAR,JOD,QAR
2025-08-24,08/24/2025,1.13974,JOD,CHF,JOD,CHF
2025-08-24,08/24/2025,1826.98843,JOD,IQD,JOD,IQD
2025-08-24,08/24/2025,0.70904,USD,JOD,USD,JOD
2025-08-24,08/24/2025,3.7523,USD,SAR,USD,SAR
2025-08-24,08/24/2025,0.8531,USD,EUR,USD,EUR
2025-08-24,08/24/2025,3.6725,USD,AED,USD,AED
2025-08-24,08/24/2025,0.7453,USD,GBP,USD,GBP
2025-08-24,08/24/2025,87.33025,USD,INR,USD,INR
2025-08-24,08/24/2025,48.36198,USD,EGP,USD,EGP
2025-08-24,08/24/2025,3.60502,USD,QAR,USD,QAR
2025-08-24,08/24/2025,17.4486,USD,ZAR,USD,ZAR
2025-08-24,08/24/2025,40.93853,USD,TRY,USD,TRY
2025-08-24,08/24/2025,1295.40705,USD,IQD,USD,IQD
2025-08-24,08/24/2025,0.18896,SAR,JOD,SAR,JOD
2025-08-24,08/24/2025,0.2665,SAR,USD,SAR,USD
2025-08-24,08/24/2025,0.22736,SAR,EUR,SAR,EUR
2025-08-24,08/24/2025,39.16502,SAR,JPY,SAR,JPY
2025-08-24,08/24/2025,0.97873,SAR,AED,SAR,AED
2025-08-24,08/24/2025,0.41203,SAR,AUD,SAR,AUD
2025-08-24,08/24/2025,0.19862,SAR,GBP,SAR,GBP
2025-08-24,08/24/2025,23.27377,SAR,INR,SAR,INR
2025-08-24,08/24/2025,12.88861,SAR,EGP,SAR,EGP
2025-08-24,08/24/2025,0.36867,SAR,CAD,SAR,CAD
2025-08-24,08/24/2025,0.96075,SAR,QAR,SAR,QAR
2025-08-24,08/24/2025,0.21537,SAR,CHF,SAR,CHF
2025-08-24,08/24/2025,2.53001,SAR,SEK,SAR,SEK
2025-08-24,08/24/2025,0.10218,SAR,OMR,SAR,OMR
2025-08-24,08/24/2025,0.08139,SAR,KWD,SAR,KWD
2025-08-24,08/24/2025,4.65011,SAR,ZAR,SAR,ZAR
