_service_date,exChangeRateDate,exChangeRateValue,sourceCurrency,targetCurrency,FromCurrency,ToCurrency
2025-08-02,08/02/2025,1.41036,JOD,USD,JOD,USD
2025-08-02,08/02/2025,5.2904,JOD,SAR,JOD,SAR
2025-08-02,08/02/2025,1.21651,JOD,EUR,JOD,EUR
2025-08-02,08/02/2025,207.86434,JOD,JPY,JOD,JPY
2025-08-02,08/02/2025,5.18031,JOD,AED,JOD,AED
2025-08-02,08/02/2025,1.06186,JOD,GBP,JOD,GBP
2025-08-02,08/02/2025,5.13476,JOD,QAR,JOD,QAR
2025-08-02,08/02/2025,1.13379,JOD,CHF,JOD,CHF
2025-08-02,08/02/2025,1847.56971,JOD,IQD,JOD,IQD
2025-08-02,08/02/2025,0.70904,USD,JOD,USD,JOD
2025-08-02,08/02/2025,3.75111,USD,SAR,USD,SAR
2025-08-02,08/02/2025,0.86255,USD,EUR,USD,EUR
2025-08-02,08/02/2025,3.67304,USD,AED,USD,AED
2025-08-02,08/02/2025,0.7529,USD,GBP,USD,GBP
2025-08-02,08/02/2025,87.1669,USD,INR,USD,INR
2025-08-02,08/02/2025,48.33873,USD,EGP,USD,EGP
2025-08-02,08/02/2025,3.64075,USD,QAR,USD,QAR
2025-08-02,08/02/2025,18.15427,USD,ZAR,USD,ZAR
2025-08-02,08/02/2025,40.6338,USD,TRY,USD,TRY
2025-08-02,08/02/2025,1310.0,USD,IQD,USD,IQD
2025-08-02,08/02/2025,0.18902,SAR,JOD,SAR,JOD
2025-08-02,08/02/2025,0.26659,SAR,USD,SAR,USD
2025-08-02,08/02/2025,0.22995,SAR,EUR,SAR,EUR
2025-08-02,08/02/2025,39.29083,SAR,JPY,SAR,JPY
2025-08-02,08/02/2025,0.97919,SAR,AED,SAR,AED
2025-08-02,08/02/2025,0.41211,SAR,AUD,SAR,AUD
2025-08-02,08/02/2025,0.20071,SAR,GBP,SAR,GBP
2025-08-02,08/02/2025,23.23766,SAR,INR,SAR,INR
2025-08-02,08/02/2025,12.88653,SAR,EGP,SAR,EGP
2025-08-02,08/02/2025,0.36791,SAR,CAD,SAR,CAD
2025-08-02,08/02/2025,0.97058,SAR,QAR,SAR,QAR
2025-08-02,08/02/2025,0.21431,SAR,CHF,SAR,CHF
2025-08-02,08/02/2025,2.57354,SAR,SEK,SAR,SEK
2025-08-02,08/02/2025,0.10182,SAR,OMR,SAR,OMR
2025-08-02,08/02/2025,0.08138,SAR,KWD,SAR,KWD
