_service_date,exChangeRateDate,exChangeRateValue,sourceCurrency,targetCurrency
2025-07-17,07/17/2025,1.41038,JOD,USD
2025-07-17,07/17/2025,5.28993,JOD,SAR
2025-07-17,07/17/2025,1.21148,JOD,EUR
2025-07-17,07/17/2025,208.4961,JOD,JPY
2025-07-17,07/17/2025,5.18036,JOD,AED
2025-07-17,07/17/2025,2.16051,JOD,AUD
2025-07-17,07/17/2025,1.05112,JOD,GBP
2025-07-17,07/17/2025,121.12983,JOD,INR
2025-07-17,07/17/2025,69.70082,JOD,EGP
2025-07-17,07/17/2025,1.93088,JOD,CAD
2025-07-17,07/17/2025,59412.24636,JOD,IRR
2025-07-17,07/17/2025,25.13314,JOD,SZL
2025-07-17,07/17/2025,5.13463,JOD,QAR
2025-07-17,07/17/2025,1.12949,JOD,CHF
2025-07-17,07/17/2025,13.70311,JOD,SEK
2025-07-17,07/17/2025,0.54229,JOD,OMR
2025-07-17,07/17/2025,0.43096,JOD,KWD
2025-07-17,07/17/2025,25.1489,JOD,ZAR
2025-07-17,07/17/2025,10.12515,JOD,CNY
2025-07-17,07/17/2025,56.75721,JOD,TRY
2025-07-17,07/17/2025,9.04546,JOD,DKK
2025-07-17,07/17/2025,45.75285,JOD,thb
2025-07-17,07/17/2025,0.53172,JOD,BHD
2025-07-17,07/17/2025,2.37181,JOD,NZD
2025-07-17,07/17/2025,126299.50557,JOD,LBP
2025-07-17,07/17/2025,1847.59746,JOD,IQD
2025-07-17,07/17/2025,0.70903,USD,JOD
2025-07-17,07/17/2025,3.75071,USD,SAR
2025-07-17,07/17/2025,0.85898,USD,EUR
2025-07-17,07/17/2025,147.82976,USD,JPY
2025-07-17,07/17/2025,3.67302,USD,AED
2025-07-17,07/17/2025,1.53186,USD,AUD
2025-07-17,07/17/2025,0.74528,USD,GBP
2025-07-17,07/17/2025,85.88455,USD,INR
2025-07-17,07/17/2025,49.4199,USD,EGP
2025-07-17,07/17/2025,1.36905,USD,CAD
2025-07-17,07/17/2025,42124.99986,USD,IRR
2025-07-17,07/17/2025,17.82012,USD,SZL
2025-07-17,07/17/2025,3.6406,USD,QAR
2025-07-17,07/17/2025,0.80084,USD,CHF
2025-07-17,07/17/2025,9.7159,USD,SEK
2025-07-17,07/17/2025,0.3845,USD,OMR
2025-07-17,07/17/2025,0.30556,USD,KWD
2025-07-17,07/17/2025,17.8313,USD,ZAR
2025-07-17,07/17/2025,7.17902,USD,CNY
2025-07-17,07/17/2025,40.2425,USD,TRY
2025-07-17,07/17/2025,6.41349,USD,DKK
2025-07-17,07/17/2025,32.4401,USD,thb
2025-07-17,07/17/2025,0.37701,USD,BHD
2025-07-17,07/17/2025,1.68168,USD,NZD
2025-07-17,07/17/2025,89549.99987,USD,LBP
2025-07-17,07/17/2025,1310.0,USD,IQD
2025-07-17,07/17/2025,0.18904,SAR,JOD
2025-07-17,07/17/2025,0.26662,SAR,USD
2025-07-17,07/17/2025,0.22902,SAR,EUR
2025-07-17,07/17/2025,39.4138,SAR,JPY
2025-07-17,07/17/2025,0.97929,SAR,AED
2025-07-17,07/17/2025,0.40842,SAR,AUD
2025-07-17,07/17/2025,0.1987,SAR,GBP
2025-07-17,07/17/2025,22.89821,SAR,INR
2025-07-17,07/17/2025,13.17614,SAR,EGP
2025-07-17,07/17/2025,0.36501,SAR,CAD
2025-07-17,07/17/2025,11231.20488,SAR,IRR
2025-07-17,07/17/2025,4.75113,SAR,SZL
2025-07-17,07/17/2025,0.97064,SAR,QAR
2025-07-17,07/17/2025,0.21352,SAR,CHF
2025-07-17,07/17/2025,2.59042,SAR,SEK
2025-07-17,07/17/2025,0.10251,SAR,OMR
2025-07-17,07/17/2025,0.08147,SAR,KWD
2025-07-17,07/17/2025,4.75411,SAR,ZAR
2025-07-17,07/17/2025,1.91404,SAR,CNY
2025-07-17,07/17/2025,10.7293,SAR,TRY
2025-07-17,07/17/2025,1.70994,SAR,DKK
2025-07-17,07/17/2025,8.64905,SAR,thb
2025-07-17,07/17/2025,0.10052,SAR,BHD
2025-07-17,07/17/2025,0.44836,SAR,NZD
2025-07-17,07/17/2025,23875.47534,SAR,LBP
2025-07-17,07/17/2025,349.26714,SAR,IQD
2025-07-17,07/17/2025,0.82544,EUR,JOD
2025-07-17,07/17/2025,1.16418,EUR,USD
2025-07-17,07/17/2025,4.3665,EUR,SAR
2025-07-17,07/17/2025,172.10019,EUR,JPY
2025-07-17,07/17/2025,4.27605,EUR,AED
2025-07-17,07/17/2025,1.78336,EUR,AUD
2025-07-17,07/17/2025,0.86763,EUR,GBP
2025-07-17,07/17/2025,99.98492,EUR,INR
2025-07-17,07/17/2025,57.53357,EUR,EGP
2025-07-17,07/17/2025,1.59382,EUR,CAD
2025-07-17,07/17/2025,49041.00801,EUR,IRR
2025-07-17,07/17/2025,20.7458,EUR,SZL
2025-07-17,07/17/2025,4.23831,EUR,QAR
2025-07-17,07/17/2025,0.93232,EUR,CHF
2025-07-17,07/17/2025,11.31104,EUR,SEK
2025-07-17,07/17/2025,0.44763,EUR,OMR
2025-07-17,07/17/2025,0.35573,EUR,KWD
2025-07-17,07/17/2025,20.75881,EUR,ZAR
2025-07-17,07/17/2025,8.35766,EUR,CNY
2025-07-17,07/17/2025,46.84945,EUR,TRY
2025-07-17,07/17/2025,7.46645,EUR,DKK
2025-07-17,07/17/2025,37.76605,EUR,thb
2025-07-17,07/17/2025,0.4389,EUR,BHD
2025-07-17,07/17/2025,1.95778,EUR,NZD
2025-07-17,07/17/2025,104252.16085,EUR,LBP
2025-07-17,07/17/2025,1525.07349,EUR,IQD
2025-07-17,07/17/2025,0.0048,JPY,JOD
2025-07-17,07/17/2025,0.00677,JPY,USD
2025-07-17,07/17/2025,0.02537,JPY,SAR
2025-07-17,07/17/2025,0.00581,JPY,EUR
2025-07-17,07/17/2025,0.02485,JPY,AED
2025-07-17,07/17/2025,0.01036,JPY,AUD
2025-07-17,07/17/2025,0.00504,JPY,GBP
2025-07-17,07/17/2025,0.58097,JPY,INR
2025-07-17,07/17/2025,0.3343,JPY,EGP
2025-07-17,07/17/2025,0.00926,JPY,CAD
2025-07-17,07/17/2025,284.95615,JPY,IRR
2025-07-17,07/17/2025,0.12055,JPY,SZL
2025-07-17,07/17/2025,0.02463,JPY,QAR
2025-07-17,07/17/2025,0.00542,JPY,CHF
2025-07-17,07/17/2025,0.06572,JPY,SEK
2025-07-17,07/17/2025,0.0026,JPY,OMR
2025-07-17,07/17/2025,0.00207,JPY,KWD
2025-07-17,07/17/2025,0.12062,JPY,ZAR
2025-07-17,07/17/2025,0.04856,JPY,CNY
2025-07-17,07/17/2025,0.27222,JPY,TRY
2025-07-17,07/17/2025,0.04338,JPY,DKK
2025-07-17,07/17/2025,0.21944,JPY,thb
2025-07-17,07/17/2025,0.00255,JPY,BHD
2025-07-17,07/17/2025,0.01138,JPY,NZD
2025-07-17,07/17/2025,605.76435,JPY,LBP
2025-07-17,07/17/2025,8.86154,JPY,IQD
2025-07-17,07/17/2025,0.19304,AED,JOD
2025-07-17,07/17/2025,0.27226,AED,USD
2025-07-17,07/17/2025,1.02115,AED,SAR
2025-07-17,07/17/2025,0.23386,AED,EUR
2025-07-17,07/17/2025,40.24745,AED,JPY
2025-07-17,07/17/2025,0.41706,AED,AUD
2025-07-17,07/17/2025,0.20291,AED,GBP
2025-07-17,07/17/2025,23.38253,AED,INR
2025-07-17,07/17/2025,13.45483,AED,EGP
2025-07-17,07/17/2025,0.37273,AED,CAD
2025-07-17,07/17/2025,11468.75777,AED,IRR
2025-07-17,07/17/2025,4.85162,AED,SZL
2025-07-17,07/17/2025,0.99117,AED,QAR
2025-07-17,07/17/2025,0.21803,AED,CHF
2025-07-17,07/17/2025,2.64521,AED,SEK
2025-07-17,07/17/2025,0.10468,AED,OMR
2025-07-17,07/17/2025,0.08319,AED,KWD
2025-07-17,07/17/2025,4.85467,AED,ZAR
2025-07-17,07/17/2025,1.95453,AED,CNY
2025-07-17,07/17/2025,10.95624,AED,TRY
2025-07-17,07/17/2025,1.74611,AED,DKK
2025-07-17,07/17/2025,8.83199,AED,thb
2025-07-17,07/17/2025,0.10264,AED,BHD
2025-07-17,07/17/2025,0.45785,AED,NZD
2025-07-17,07/17/2025,24380.46908,AED,LBP
2025-07-17,07/17/2025,356.65455,AED,IQD
2025-07-17,07/17/2025,0.46285,AUD,JOD
2025-07-17,07/17/2025,0.6528,AUD,USD
2025-07-17,07/17/2025,2.44846,AUD,SAR
2025-07-17,07/17/2025,0.56074,AUD,EUR
2025-07-17,07/17/2025,96.50326,AUD,JPY
2025-07-17,07/17/2025,2.39775,AUD,AED
2025-07-17,07/17/2025,0.48652,AUD,GBP
2025-07-17,07/17/2025,56.06543,AUD,INR
2025-07-17,07/17/2025,32.26131,AUD,EGP
2025-07-17,07/17/2025,0.89372,AUD,CAD
2025-07-17,07/17/2025,27499.19732,AUD,IRR
2025-07-17,07/17/2025,11.63297,AUD,SZL
2025-07-17,07/17/2025,2.37658,AUD,QAR
2025-07-17,07/17/2025,0.52279,AUD,CHF
2025-07-17,07/17/2025,6.34254,AUD,SEK
2025-07-17,07/17/2025,0.251,AUD,OMR
2025-07-17,07/17/2025,0.19947,AUD,KWD
2025-07-17,07/17/2025,11.64027,AUD,ZAR
2025-07-17,07/17/2025,4.68646,AUD,CNY
2025-07-17,07/17/2025,26.2703,AUD,TRY
2025-07-17,07/17/2025,4.18673,AUD,DKK
2025-07-17,07/17/2025,21.17689,AUD,thb
2025-07-17,07/17/2025,0.24611,AUD,BHD
2025-07-17,07/17/2025,1.0978,AUD,NZD
2025-07-17,07/17/2025,58458.23443,AUD,LBP
2025-07-17,07/17/2025,855.16792,AUD,IQD
2025-07-17,07/17/2025,0.95137,GBP,JOD
2025-07-17,07/17/2025,1.34179,GBP,USD
2025-07-17,07/17/2025,5.03265,GBP,SAR
2025-07-17,07/17/2025,1.15256,GBP,EUR
2025-07-17,07/17/2025,198.35599,GBP,JPY
2025-07-17,07/17/2025,4.92841,GBP,AED
2025-07-17,07/17/2025,2.05543,GBP,AUD
2025-07-17,07/17/2025,115.23874,GBP,INR
2025-07-17,07/17/2025,66.31096,GBP,EGP
2025-07-17,07/17/2025,1.83697,GBP,CAD
2025-07-17,07/17/2025,56522.75986,GBP,IRR
2025-07-17,07/17/2025,23.9108,GBP,SZL
2025-07-17,07/17/2025,4.88491,GBP,QAR
2025-07-17,07/17/2025,1.07456,GBP,CHF
2025-07-17,07/17/2025,13.03667,GBP,SEK
2025-07-17,07/17/2025,0.51592,GBP,OMR
2025-07-17,07/17/2025,0.41,GBP,KWD
2025-07-17,07/17/2025,23.9258,GBP,ZAR
2025-07-17,07/17/2025,9.63271,GBP,CNY
2025-07-17,07/17/2025,53.99685,GBP,TRY
2025-07-17,07/17/2025,8.60554,GBP,DKK
2025-07-17,07/17/2025,43.52769,GBP,thb
2025-07-17,07/17/2025,0.50586,GBP,BHD
2025-07-17,07/17/2025,2.25646,GBP,NZD
2025-07-17,07/17/2025,120156.98885,GBP,LBP
2025-07-17,07/17/2025,1757.74043,GBP,IQD
2025-07-17,07/17/2025,0.00826,INR,JOD
2025-07-17,07/17/2025,0.01164,INR,USD
2025-07-17,07/17/2025,0.04367,INR,SAR
2025-07-17,07/17/2025,0.01,INR,EUR
2025-07-17,07/17/2025,1.72126,INR,JPY
2025-07-17,07/17/2025,0.04277,INR,AED
2025-07-17,07/17/2025,0.01784,INR,AUD
2025-07-17,07/17/2025,0.00868,INR,GBP
2025-07-17,07/17/2025,0.57542,INR,EGP
2025-07-17,07/17/2025,0.01594,INR,CAD
2025-07-17,07/17/2025,490.48403,INR,IRR
2025-07-17,07/17/2025,0.20749,INR,SZL
2025-07-17,07/17/2025,0.04239,INR,QAR
2025-07-17,07/17/2025,0.00933,INR,CHF
2025-07-17,07/17/2025,0.11313,INR,SEK
2025-07-17,07/17/2025,0.00448,INR,OMR
2025-07-17,07/17/2025,0.00356,INR,KWD
2025-07-17,07/17/2025,0.20762,INR,ZAR
2025-07-17,07/17/2025,0.08359,INR,CNY
2025-07-17,07/17/2025,0.46857,INR,TRY
2025-07-17,07/17/2025,0.07468,INR,DKK
2025-07-17,07/17/2025,0.37772,INR,thb
2025-07-17,07/17/2025,0.00439,INR,BHD
2025-07-17,07/17/2025,0.01958,INR,NZD
2025-07-17,07/17/2025,1042.6788,INR,LBP
