_service_date,exChangeRateDate,exChangeRateValue,sourceCurrency,targetCurrency,FromCurrency,ToCurrency
2025-07-30,07/30/2025,1.41049,JOD,USD,JOD,USD
2025-07-30,07/30/2025,5.29047,JOD,SAR,JOD,SAR
2025-07-30,07/30/2025,1.22144,JOD,EUR,JOD,EUR
2025-07-30,07/30/2025,209.42993,JOD,JPY,JOD,JPY
2025-07-30,07/30/2025,5.18079,JOD,AED,JOD,AED
2025-07-30,07/30/2025,1.05663,JOD,GBP,JOD,GBP
2025-07-30,07/30/2025,5.13525,JOD,QAR,JOD,QAR
2025-07-30,07/30/2025,1.13665,JOD,CHF,JOD,CHF
2025-07-30,07/30/2025,1847.7441,JOD,IQD,JOD,IQD
2025-07-30,07/30/2025,0.70897,USD,JOD,USD,JOD
2025-07-30,07/30/2025,3.7508,USD,SAR,USD,SAR
2025-07-30,07/30/2025,0.86597,USD,EUR,USD,EUR
2025-07-30,07/30/2025,3.67304,USD,AED,USD,AED
2025-07-30,07/30/2025,0.74912,USD,GBP,USD,GBP
2025-07-30,07/30/2025,87.06305,USD,INR,USD,INR
2025-07-30,07/30/2025,48.66003,USD,EGP,USD,EGP
2025-07-30,07/30/2025,3.64075,USD,QAR,USD,QAR
2025-07-30,07/30/2025,17.90497,USD,ZAR,USD,ZAR
2025-07-30,07/30/2025,40.57175,USD,TRY,USD,TRY
2025-07-30,07/30/2025,1310.0,USD,IQD,USD,IQD
2025-07-30,07/30/2025,0.18902,SAR,JOD,SAR,JOD
2025-07-30,07/30/2025,0.26661,SAR,USD,SAR,USD
2025-07-30,07/30/2025,0.23088,SAR,EUR,SAR,EUR
2025-07-30,07/30/2025,39.58625,SAR,JPY,SAR,JPY
2025-07-30,07/30/2025,0.97927,SAR,AED,SAR,AED
2025-07-30,07/30/2025,0.40935,SAR,AUD,SAR,AUD
2025-07-30,07/30/2025,0.19972,SAR,GBP,SAR,GBP
2025-07-30,07/30/2025,23.21186,SAR,INR,SAR,INR
2025-07-30,07/30/2025,12.97324,SAR,EGP,SAR,EGP
2025-07-30,07/30/2025,0.36711,SAR,CAD,SAR,CAD
2025-07-30,07/30/2025,0.97066,SAR,QAR,SAR,QAR
2025-07-30,07/30/2025,0.21485,SAR,CHF,SAR,CHF
2025-07-30,07/30/2025,2.57318,SAR,SEK,SAR,SEK
2025-07-30,07/30/2025,0.10251,SAR,OMR,SAR,OMR
2025-07-30,07/30/2025,0.08144,SAR,KWD,SAR,KWD
2025-07-30,07/30/2025,4.77364,SAR,ZAR,SAR,ZAR
2025-07-30,07/30/2025,1.91343,SAR,CNY,SAR,CNY
2025-07-30,07/30/2025,10.81683,SAR,TRY,SAR,TRY
2025-07-30,07/30/2025,1.72297,SAR,DKK,SAR,DKK
2025-07-30,07/30/2025,8.6409,SAR,thb,SAR,THB
2025-07-30,07/30/2025,0.44763,SAR,NZD,SAR,NZD
2025-07-30,07/30/2025,349.25885,SAR,IQD,SAR,IQD
2025-07-30,07/30/2025,0.8187,EUR,JOD,EUR,JOD
2025-07-30,07/30/2025,1.15477,EUR,USD,EUR,USD
2025-07-30,07/30/2025,4.33133,EUR,SAR,EUR,SAR
2025-07-30,07/30/2025,4.24153,EUR,AED,EUR,AED
2025-07-30,07/30/2025,0.86506,EUR,GBP,EUR,GBP
2025-07-30,07/30/2025,100.53818,EUR,INR,EUR,INR
2025-07-30,07/30/2025,56.19135,EUR,EGP,EUR,EGP
2025-07-30,07/30/2025,4.20424,EUR,QAR,EUR,QAR
2025-07-30,07/30/2025,0.93058,EUR,CHF,EUR,CHF
2025-07-30,07/30/2025,20.6762,EUR,ZAR,EUR,ZAR
2025-07-30,07/30/2025,46.85122,EUR,TRY,EUR,TRY
2025-07-30,07/30/2025,1512.75445,EUR,IQD,EUR,IQD
2025-07-30,07/30/2025,0.00674,JPY,USD,JPY,USD
2025-07-30,07/30/2025,0.02526,JPY,SAR,JPY,SAR
2025-07-30,07/30/2025,0.00583,JPY,EUR,JPY,EUR
2025-07-30,07/30/2025,0.02474,JPY,AED,JPY,AED
2025-07-30,07/30/2025,0.00505,JPY,GBP,JPY,GBP
2025-07-30,07/30/2025,0.32772,JPY,EGP,JPY,EGP
2025-07-30,07/30/2025,0.02452,JPY,QAR,JPY,QAR
2025-07-30,07/30/2025,0.19302,AED,JOD,AED,JOD
2025-07-30,07/30/2025,0.27225,AED,USD,AED,USD
2025-07-30,07/30/2025,1.02117,AED,SAR,AED,SAR
2025-07-30,07/30/2025,0.23576,AED,EUR,AED,EUR
2025-07-30,07/30/2025,40.42433,AED,JPY,AED,JPY
2025-07-30,07/30/2025,0.41802,AED,AUD,AED,AUD
2025-07-30,07/30/2025,0.20395,AED,GBP,AED,GBP
2025-07-30,07/30/2025,23.70328,AED,INR,AED,INR
2025-07-30,07/30/2025,13.2479,AED,EGP,AED,EGP
2025-07-30,07/30/2025,0.37488,AED,CAD,AED,CAD
2025-07-30,07/30/2025,0.99121,AED,QAR,AED,QAR
2025-07-30,07/30/2025,0.2194,AED,CHF,AED,CHF
2025-07-30,07/30/2025,2.62765,AED,SEK,AED,SEK
2025-07-30,07/30/2025,0.10468,AED,OMR,AED,OMR
2025-07-30,07/30/2025,0.08317,AED,KWD,AED,KWD
2025-07-30,07/30/2025,4.8747,AED,ZAR,AED,ZAR
2025-07-30,07/30/2025,1.95394,AED,CNY,AED,CNY
2025-07-30,07/30/2025,11.04583,AED,TRY,AED,TRY
2025-07-30,07/30/2025,1.75944,AED,DKK,AED,DKK
2025-07-30,07/30/2025,8.82383,AED,thb,AED,THB
2025-07-30,07/30/2025,0.45711,AED,NZD,AED,NZD
2025-07-30,07/30/2025,356.65302,AED,IQD,AED,IQD
2025-07-30,07/30/2025,0.6513,AUD,USD,AUD,USD
2025-07-30,07/30/2025,2.44288,AUD,SAR,AUD,SAR
2025-07-30,07/30/2025,0.564,AUD,EUR,AUD,EUR
2025-07-30,07/30/2025,2.39223,AUD,AED,AUD,AED
2025-07-30,07/30/2025,0.4879,AUD,GBP,AUD,GBP
2025-07-30,07/30/2025,2.3712,AUD,QAR,AUD,QAR
2025-07-30,07/30/2025,0.94641,GBP,JOD,GBP,JOD
2025-07-30,07/30/2025,1.3349,GBP,USD,GBP,USD
2025-07-30,07/30/2025,5.00694,GBP,SAR,GBP,SAR
2025-07-30,07/30/2025,1.15598,GBP,EUR,GBP,EUR
2025-07-30,07/30/2025,4.90314,GBP,AED,GBP,AED
2025-07-30,07/30/2025,116.22046,GBP,INR,GBP,INR
2025-07-30,07/30/2025,64.95627,GBP,EGP,GBP,EGP
2025-07-30,07/30/2025,4.86004,GBP,QAR,GBP,QAR
2025-07-30,07/30/2025,54.15923,GBP,TRY,GBP,TRY
2025-07-30,07/30/2025,0.01149,INR,USD,INR,USD
2025-07-30,07/30/2025,0.04308,INR,SAR,INR,SAR
2025-07-30,07/30/2025,0.00995,INR,EUR,INR,EUR
2025-07-30,07/30/2025,0.04219,INR,AED,INR,AED
2025-07-30,07/30/2025,0.0086,INR,GBP,INR,GBP
2025-07-30,07/30/2025,0.55891,INR,EGP,INR,EGP
2025-07-30,07/30/2025,0.04182,INR,QAR,INR,QAR
2025-07-30,07/30/2025,0.02055,EGP,USD,EGP,USD
2025-07-30,07/30/2025,0.07708,EGP,SAR,EGP,SAR
2025-07-30,07/30/2025,0.0178,EGP,EUR,EGP,EUR
2025-07-30,07/30/2025,0.07548,EGP,AED,EGP,AED
2025-07-30,07/30/2025,0.0154,EGP,GBP,EGP,GBP
