_service_date,exChangeRateDate,exChangeRateValue,sourceCurrency,targetCurrency
2025-07-31,07/31/2025,1.41042,JOD,USD
2025-07-31,07/31/2025,5.29036,JOD,SAR
2025-07-31,07/31/2025,1.23609,JOD,EUR
2025-07-31,07/31/2025,210.80076,JOD,JPY
2025-07-31,07/31/2025,5.18043,JOD,AED
2025-07-31,07/31/2025,2.19172,JOD,AUD
2025-07-31,07/31/2025,1.06575,JOD,GBP
2025-07-31,07/31/2025,123.6519,JOD,INR
2025-07-31,07/31/2025,68.72852,JOD,EGP
2025-07-31,07/31/2025,1.95096,JOD,CAD
2025-07-31,07/31/2025,59396.09193,JOD,IRR
2025-07-31,07/31/2025,25.40174,JOD,SZL
2025-07-31,07/31/2025,5.13497,JOD,QAR
2025-07-31,07/31/2025,1.14861,JOD,CHF
2025-07-31,07/31/2025,13.81727,JOD,SEK
2025-07-31,07/31/2025,0.54227,JOD,OMR
2025-07-31,07/31/2025,0.4316,JOD,KWD
2025-07-31,07/31/2025,25.37739,JOD,ZAR
2025-07-31,07/31/2025,10.1224,JOD,CNY
2025-07-31,07/31/2025,57.25127,JOD,TRY
2025-07-31,07/31/2025,9.22576,JOD,DKK
2025-07-31,07/31/2025,46.13482,JOD,thb
2025-07-31,07/31/2025,0.53175,JOD,BHD
2025-07-31,07/31/2025,2.39263,JOD,NZD
2025-07-31,07/31/2025,127657.43091,JOD,LBP
2025-07-31,07/31/2025,1847.64324,JOD,IQD
2025-07-31,07/31/2025,0.70901,USD,JOD
2025-07-31,07/31/2025,3.75093,USD,SAR
2025-07-31,07/31/2025,0.8764,USD,EUR
2025-07-31,07/31/2025,149.46013,USD,JPY
2025-07-31,07/31/2025,3.67298,USD,AED
2025-07-31,07/31/2025,1.55396,USD,AUD
2025-07-31,07/31/2025,0.75563,USD,GBP
2025-07-31,07/31/2025,87.6706,USD,INR
2025-07-31,07/31/2025,48.7293,USD,EGP
2025-07-31,07/31/2025,1.38325,USD,CAD
2025-07-31,07/31/2025,42112.50251,USD,IRR
2025-07-31,07/31/2025,18.01012,USD,SZL
2025-07-31,07/31/2025,3.64075,USD,QAR
2025-07-31,07/31/2025,0.81438,USD,CHF
2025-07-31,07/31/2025,9.7966,USD,SEK
2025-07-31,07/31/2025,0.38448,USD,OMR
2025-07-31,07/31/2025,0.30601,USD,KWD
2025-07-31,07/31/2025,17.99286,USD,ZAR
2025-07-31,07/31/2025,7.1769,USD,CNY
2025-07-31,07/31/2025,40.5918,USD,TRY
2025-07-31,07/31/2025,6.54117,USD,DKK
2025-07-31,07/31/2025,32.71011,USD,thb
2025-07-31,07/31/2025,0.37701,USD,BHD
2025-07-31,07/31/2025,1.6964,USD,NZD
2025-07-31,07/31/2025,90510.56569,USD,LBP
2025-07-31,07/31/2025,1310.0,USD,IQD
2025-07-31,07/31/2025,0.18902,SAR,JOD
2025-07-31,07/31/2025,0.2666,SAR,USD
2025-07-31,07/31/2025,0.23365,SAR,EUR
2025-07-31,07/31/2025,39.84619,SAR,JPY
2025-07-31,07/31/2025,0.97922,SAR,AED
2025-07-31,07/31/2025,0.41429,SAR,AUD
2025-07-31,07/31/2025,0.20145,SAR,GBP
2025-07-31,07/31/2025,23.37305,SAR,INR
2025-07-31,07/31/2025,12.99127,SAR,EGP
2025-07-31,07/31/2025,0.36878,SAR,CAD
2025-07-31,07/31/2025,11227.22763,SAR,IRR
2025-07-31,07/31/2025,4.80151,SAR,SZL
2025-07-31,07/31/2025,0.97063,SAR,QAR
2025-07-31,07/31/2025,0.21711,SAR,CHF
2025-07-31,07/31/2025,2.61178,SAR,SEK
2025-07-31,07/31/2025,0.1025,SAR,OMR
2025-07-31,07/31/2025,0.08158,SAR,KWD
2025-07-31,07/31/2025,4.79691,SAR,ZAR
2025-07-31,07/31/2025,1.91337,SAR,CNY
2025-07-31,07/31/2025,10.82181,SAR,TRY
2025-07-31,07/31/2025,1.74388,SAR,DKK
2025-07-31,07/31/2025,8.72054,SAR,thb
2025-07-31,07/31/2025,0.10051,SAR,BHD
2025-07-31,07/31/2025,0.45226,SAR,NZD
2025-07-31,07/31/2025,24130.19087,SAR,LBP
2025-07-31,07/31/2025,349.24707,SAR,IQD
2025-07-31,07/31/2025,0.809,EUR,JOD
2025-07-31,07/31/2025,1.14103,EUR,USD
2025-07-31,07/31/2025,4.27991,EUR,SAR
2025-07-31,07/31/2025,170.5382,EUR,JPY
2025-07-31,07/31/2025,4.19098,EUR,AED
2025-07-31,07/31/2025,1.77311,EUR,AUD
2025-07-31,07/31/2025,0.86219,EUR,GBP
2025-07-31,07/31/2025,100.03462,EUR,INR
2025-07-31,07/31/2025,55.6015,EUR,EGP
2025-07-31,07/31/2025,1.57833,EUR,CAD
2025-07-31,07/31/2025,48051.54857,EUR,IRR
2025-07-31,07/31/2025,20.55005,EUR,SZL
2025-07-31,07/31/2025,4.1542,EUR,QAR
2025-07-31,07/31/2025,0.92923,EUR,CHF
2025-07-31,07/31/2025,11.1782,EUR,SEK
2025-07-31,07/31/2025,0.4387,EUR,OMR
2025-07-31,07/31/2025,0.34917,EUR,KWD
2025-07-31,07/31/2025,20.53035,EUR,ZAR
2025-07-31,07/31/2025,8.18904,EUR,CNY
2025-07-31,07/31/2025,46.31638,EUR,TRY
2025-07-31,07/31/2025,7.46366,EUR,DKK
2025-07-31,07/31/2025,37.32315,EUR,thb
2025-07-31,07/31/2025,0.43018,EUR,BHD
2025-07-31,07/31/2025,1.93564,EUR,NZD
2025-07-31,07/31/2025,103275.09846,EUR,LBP
2025-07-31,07/31/2025,1494.74681,EUR,IQD
2025-07-31,07/31/2025,0.00474,JPY,JOD
2025-07-31,07/31/2025,0.00669,JPY,USD
2025-07-31,07/31/2025,0.0251,JPY,SAR
2025-07-31,07/31/2025,0.00586,JPY,EUR
2025-07-31,07/31/2025,0.02458,JPY,AED
2025-07-31,07/31/2025,0.0104,JPY,AUD
2025-07-31,07/31/2025,0.00506,JPY,GBP
2025-07-31,07/31/2025,0.58658,JPY,INR
2025-07-31,07/31/2025,0.32604,JPY,EGP
2025-07-31,07/31/2025,0.00926,JPY,CAD
2025-07-31,07/31/2025,281.76413,JPY,IRR
2025-07-31,07/31/2025,0.1205,JPY,SZL
2025-07-31,07/31/2025,0.02436,JPY,QAR
2025-07-31,07/31/2025,0.00545,JPY,CHF
2025-07-31,07/31/2025,0.06555,JPY,SEK
2025-07-31,07/31/2025,0.00257,JPY,OMR
2025-07-31,07/31/2025,0.00205,JPY,KWD
2025-07-31,07/31/2025,0.12039,JPY,ZAR
2025-07-31,07/31/2025,0.04802,JPY,CNY
2025-07-31,07/31/2025,0.27159,JPY,TRY
2025-07-31,07/31/2025,0.04377,JPY,DKK
2025-07-31,07/31/2025,0.21886,JPY,thb
2025-07-31,07/31/2025,0.00252,JPY,BHD
2025-07-31,07/31/2025,0.01135,JPY,NZD
2025-07-31,07/31/2025,605.58336,JPY,LBP
2025-07-31,07/31/2025,8.76488,JPY,IQD
2025-07-31,07/31/2025,0.19303,AED,JOD
2025-07-31,07/31/2025,0.27226,AED,USD
2025-07-31,07/31/2025,1.02122,AED,SAR
2025-07-31,07/31/2025,0.23861,AED,EUR
2025-07-31,07/31/2025,40.69175,AED,JPY
2025-07-31,07/31/2025,0.42308,AED,AUD
2025-07-31,07/31/2025,0.20573,AED,GBP
2025-07-31,07/31/2025,23.86905,AED,INR
2025-07-31,07/31/2025,13.26696,AED,EGP
2025-07-31,07/31/2025,0.3766,AED,CAD
2025-07-31,07/31/2025,11465.4767,AED,IRR
2025-07-31,07/31/2025,4.9034,AED,SZL
2025-07-31,07/31/2025,0.99122,AED,QAR
2025-07-31,07/31/2025,0.22172,AED,CHF
2025-07-31,07/31/2025,2.66721,AED,SEK
2025-07-31,07/31/2025,0.10468,AED,OMR
2025-07-31,07/31/2025,0.08331,AED,KWD
2025-07-31,07/31/2025,4.8987,AED,ZAR
2025-07-31,07/31/2025,1.95397,AED,CNY
2025-07-31,07/31/2025,11.05145,AED,TRY
2025-07-31,07/31/2025,1.78089,AED,DKK
2025-07-31,07/31/2025,8.9056,AED,thb
