_service_date,exChangeRateDate,exChangeRateValue,sourceCurrency,targetCurrency
2025-07-29,07/29/2025,1.4104,JOD,USD
2025-07-29,07/29/2025,5.2907,JOD,SAR
2025-07-29,07/29/2025,1.21707,JOD,EUR
2025-07-29,07/29/2025,209.53033,JOD,JPY
2025-07-29,07/29/2025,5.17972,JOD,AED
2025-07-29,07/29/2025,2.16257,JOD,AUD
2025-07-29,07/29/2025,1.05605,JOD,GBP
2025-07-29,07/29/2025,122.27716,JOD,INR
2025-07-29,07/29/2025,68.81602,JOD,EGP
2025-07-29,07/29/2025,1.93762,JOD,CAD
2025-07-29,07/29/2025,59395.63535,JOD,IRR
2025-07-29,07/29/2025,25.26059,JOD,SZL
2025-07-29,07/29/2025,5.13493,JOD,QAR
2025-07-29,07/29/2025,1.13349,JOD,CHF
2025-07-29,07/29/2025,13.56207,JOD,SEK
2025-07-29,07/29/2025,0.5423,JOD,OMR
2025-07-29,07/29/2025,0.43084,JOD,KWD
2025-07-29,07/29/2025,25.22155,JOD,ZAR
2025-07-29,07/29/2025,10.12367,JOD,CNY
2025-07-29,07/29/2025,57.2253,JOD,TRY
2025-07-29,07/29/2025,9.08353,JOD,DKK
2025-07-29,07/29/2025,45.78154,JOD,thb
2025-07-29,07/29/2025,0.53154,JOD,BHD
2025-07-29,07/29/2025,2.36225,JOD,NZD
2025-07-29,07/29/2025,126301.67932,JOD,LBP
2025-07-29,07/29/2025,1847.62927,JOD,IQD
2025-07-29,07/29/2025,0.70902,USD,JOD
2025-07-29,07/29/2025,3.7512,USD,SAR
2025-07-29,07/29/2025,0.86293,USD,EUR
2025-07-29,07/29/2025,148.5605,USD,JPY
2025-07-29,07/29/2025,3.6725,USD,AED
2025-07-29,07/29/2025,1.5333,USD,AUD
2025-07-29,07/29/2025,0.74876,USD,GBP
2025-07-29,07/29/2025,86.69655,USD,INR
2025-07-29,07/29/2025,48.79171,USD,EGP
2025-07-29,07/29/2025,1.37381,USD,CAD
2025-07-29,07/29/2025,42112.49719,USD,IRR
2025-07-29,07/29/2025,17.91018,USD,SZL
2025-07-29,07/29/2025,3.64075,USD,QAR
2025-07-29,07/29/2025,0.80367,USD,CHF
2025-07-29,07/29/2025,9.61573,USD,SEK
2025-07-29,07/29/2025,0.3845,USD,OMR
2025-07-29,07/29/2025,0.30547,USD,KWD
2025-07-29,07/29/2025,17.8825,USD,ZAR
2025-07-29,07/29/2025,7.17785,USD,CNY
2025-07-29,07/29/2025,40.5737,USD,TRY
2025-07-29,07/29/2025,6.44038,USD,DKK
2025-07-29,07/29/2025,32.45988,USD,thb
2025-07-29,07/29/2025,0.37687,USD,BHD
2025-07-29,07/29/2025,1.67487,USD,NZD
2025-07-29,07/29/2025,89549.99949,USD,LBP
2025-07-29,07/29/2025,1310.0,USD,IQD
2025-07-29,07/29/2025,0.18901,SAR,JOD
2025-07-29,07/29/2025,0.26658,SAR,USD
2025-07-29,07/29/2025,0.23004,SAR,EUR
